,date,open,close,high,low,volume,code
135,2013-07-31,7849.55,7765.4,7956.41,7748.3,75691189.0,sz399001
136,2013-08-01,7819.45,7931.79,7967.03,7789.93,96856088.0,sz399001
137,2013-08-02,8023.73,7961.47,8084.9,7957.17,104277088.0,sz399001
138,2013-08-05,7955.38,8060.39,8060.39,7930.46,91134401.0,sz399001
139,2013-08-06,8033.67,8143.13,8170.5,7980.4,109359848.0,sz399001
140,2013-08-07,8167.1,8096.09,8250.87,8084.05,110042812.0,sz399001
141,2013-08-08,8090.66,8114.87,8170.71,8065.63,87477624.0,sz399001
142,2013-08-09,8158.38,8145.97,8214.68,8061.61,95428853.0,sz399001
143,2013-08-12,8181.95,8356.73,8357.82,8173.76,113931219.0,sz399001
144,2013-08-13,8353.26,8362.65,8366.67,8290.22,102595644.0,sz399001
145,2013-08-14,8375.03,8336.81,8467.78,8303.41,107976350.0,sz399001
146,2013-08-15,8342.63,8228.87,8383.59,8225.79,92299213.0,sz399001
147,2013-08-16,8204.12,8168.09,8476.05,8152.69,115664128.0,sz399001
148,2013-08-19,8110.8,8285.72,8319.53,8104.41,84838976.0,sz399001
149,2013-08-20,8269.82,8234.56,8357.73,8192.84,92019184.0,sz399001
150,2013-08-21,8264.72,8236.09,8268.65,8174.21,88767556.0,sz399001
151,2013-08-22,8223.3,8245.04,8325.77,8202.05,94460651.0,sz399001
152,2013-08-23,8281.18,8166.28,8307.02,8045.8,107920217.0,sz399001
153,2013-08-26,8200.16,8334.57,8346.7,8180.28,98923326.0,sz399001
154,2013-08-27,8325.96,8341.77,8352.4,8280.72,99418875.0,sz399001
155,2013-08-28,8286.88,8259.38,8338.29,8197.4,116799408.0,sz399001
156,2013-08-29,8287.24,8214.49,8306.32,8177.29,99767923.0,sz399001
157,2013-08-30,8197.19,8202.48,8290.39,8163.11,122677679.0,sz399001
158,2013-09-02,8214.95,8243.58,8269.82,8148.17,94854884.0,sz399001
159,2013-09-03,8257.46,8368.04,8374.31,8245.01,101697930.0,sz399001
160,2013-09-04,8354.49,8344.96,8400.81,8330.52,104538292.0,sz399001
161,2013-09-05,8352.0,8286.06,8364.07,8274.19,98234920.0,sz399001
162,2013-09-06,8277.14,8280.33,8354.31,8256.12,94501859.0,sz399001
163,2013-09-09,8334.42,8504.74,8537.92,8319.1,123276087.0,sz399001
164,2013-09-10,8535.54,8636.63,8636.63,8498.38,129288725.0,sz399001
165,2013-09-11,8636.71,8675.62,8722.39,8622.26,151003493.0,sz399001
166,2013-09-12,8648.66,8714.88,8766.35,8627.81,111948111.0,sz399001
167,2013-09-13,8709.05,8687.54,8766.7,8676.59,102849842.0,sz399001
168,2013-09-16,8706.38,8659.0,8722.49,8627.32,98874958.0,sz399001
169,2013-09-17,8652.5,8493.78,8652.5,8493.66,98136842.0,sz399001
170,2013-09-18,8463.02,8480.74,8524.34,8405.23,79715361.0,sz399001
171,2013-09-23,8503.92,8719.29,8722.59,8503.92,100423107.0,sz399001
172,2013-09-24,8718.16,8664.8,8718.27,8564.83,112960979.0,sz399001
173,2013-09-25,8642.49,8613.71,8707.5,8587.37,114005266.0,sz399001
174,2013-09-26,8578.14,8439.47,8612.33,8415.43,103168055.0,sz399001
175,2013-09-27,8442.14,8472.29,8515.13,8425.62,83031484.0,sz399001
176,2013-09-30,8485.65,8514.57,8544.74,8461.66,74993138.0,sz399001
177,2013-10-08,8505.11,8681.53,8707.04,8461.57,101313809.0,sz399001
178,2013-10-09,8645.63,8667.77,8675.59,8601.96,106243123.0,sz399001
179,2013-10-10,8684.64,8685.79,8727.14,8605.42,123476163.0,sz399001
180,2013-10-11,8722.42,8737.97,8773.18,8661.4,119937251.0,sz399001
181,2013-10-14,8736.76,8760.1,8815.75,8707.32,129408748.0,sz399001
182,2013-10-15,8756.82,8700.34,8765.55,8627.09,129369994.0,sz399001
183,2013-10-16,8664.75,8542.87,8690.38,8499.59,125203079.0,sz399001
184,2013-10-17,8583.93,8521.2,8614.95,8503.85,110368026.0,sz399001
185,2013-10-18,8529.56,8584.87,8629.55,8493.94,89323128.0,sz399001
186,2013-10-21,8608.93,8739.52,8742.04,8571.79,120402012.0,sz399001
187,2013-10-22,8727.67,8619.64,8744.8,8596.02,137927170.0,sz399001
188,2013-10-23,8640.79,8512.96,8719.63,8492.69,124656758.0,sz399001
189,2013-10-24,8486.11,8486.52,8550.86,8423.95,84819335.0,sz399001
190,2013-10-25,8488.34,8379.61,8570.28,8325.87,96606906.0,sz399001
191,2013-10-28,8398.25,8336.68,8411.81,8297.66,83315027.0,sz399001
192,2013-10-29,8352.17,8398.92,8504.57,8214.54,122844840.0,sz399001
193,2013-10-30,8402.65,8553.37,8559.77,8377.96,91543462.0,sz399001
194,2013-10-31,8516.15,8444.41,8549.76,8428.36,92132195.0,sz399001
195,2013-11-01,8433.76,8451.72,8493.38,8370.87,73947822.0,sz399001
196,2013-11-04,8493.31,8416.93,8524.48,8395.3,65688292.0,sz399001
197,2013-11-05,8357.57,8451.73,8460.18,8269.73,80208948.0,sz399001
198,2013-11-06,8409.87,8287.86,8434.95,8285.85,91645189.0,sz399001
