year,saction,discipline
2016,4,83
2015,1,84
2014,4,89
2013,6,159
2012,1,121
2011,0,87
2010,1,123
2009,1,
2008,0,
2007,1,
2006,1,
2005,2,
2004,4,
2003,3,
2002,3,
