证券代码,所属行业,上市时间,公司性质,实际控制人,控制人类型,聘请的会计师事务所,是否在境外上市,统计年度
300249.SZ,专用设备制造业,2011/8/3,民营企业,,,深圳市鹏城会计师事务所有限公司,否,2013
300250.SZ,计算机、通信和其他电子设备制造业,2011/8/3,民营企业,洪爱金,国内自然人,中磊会计师事务所有限责任公司,否,2013
300251.SZ,广播、电视、电影和影视录音制作业,2011/8/3,民营企业,王长田,国内自然人,立信会计师事务所有限公司,否,2013
300252.SZ,电气机械及器材制造业,2011/8/18,民营企业,,,中喜会计师事务所有限责任公司,否,2013
300253.SZ,软件和信息技术服务业,2011/8/18,民营企业,,,大信会计师事务有限公司,否,2013
300254.SZ,医药制造业,2011/8/19,民营企业,,,天健会计师事务所有限公司,否,2013
300255.SZ,医药制造业,2011/8/19,民营企业,,,中瑞岳华会计师事务所有限公司,否,2013
300256.SZ,计算机、通信和其他电子设备制造业,2011/8/19,民营企业,,,中勤万信会计师事务所有限公司,否,2013
300257.SZ,通用设备制造业,2011/8/19,民营企业,曹克坚,国内自然人,天健正信会计师事务所有限公司,否,2013
300258.SZ,汽车制造业,2011/8/26,民营企业,黄静,国内自然人,上海上会会计师事务所有限公司,否,2013
300259.SZ,仪器仪表制造业,2011/8/31,民营企业,,,上海众华沪银会计师事务所有限公司,否,2013
300260.SZ,通用设备制造业,2011/9/6,民营企业,,,北京兴华会计师事务所有限责任公司,否,2013
300261.SZ,化学原料及化学制品制造业,2011/9/6,民营企业,马立凡,国内自然人,深圳市鹏城会计师事务所有限公司,否,2013
300262.SZ,土木工程建筑业,2011/9/16,民营企业,,,京都天华会计师事务所有限公司,否,2013
300263.SZ,通用设备制造业,2011/9/16,民营企业,,,中汇会计师事务所有限公司,否,2013
300264.SZ,软件和信息技术服务业,2011/9/16,民营企业,,,天健会计师事务所有限公司,否,2013
300265.SZ,电气机械及器材制造业,2011/9/16,民营企业,张强,国内自然人,中磊会计师事务所有限责任公司,否,2013
300266.SZ,通用设备制造业,2011/9/27,民营企业,韩肖芳,国内自然人,立信大华会计师事务所有限公司,否,2013
300267.SZ,医药制造业,2011/9/27,民营企业,,,天健会计师事务所有限公司,否,2013
300268.SZ,农副食品加工业,2011/9/27,民营企业,,,北京兴华会计师事务所有限责任公司,否,2013
300269.SZ,计算机、通信和其他电子设备制造业,2011/10/12,民营企业,,,安永华明会计师事务所,否,2013
300270.SZ,计算机、通信和其他电子设备制造业,2011/10/12,民营企业,,,利安达会计师事务所有限责任公司,否,2013
300271.SZ,软件和信息技术服务业,2011/10/26,民营企业,,,华普天健会计师事务所(北京)有限公司,否,2013
300272.SZ,电气机械及器材制造业,2011/11/2,民营企业,,,大信会计师事务有限公司,否,2013
300273.SZ,专用设备制造业,2011/10/26,民营企业,,,大信会计师事务有限公司,否,2013
300274.SZ,电气机械及器材制造业,2011/11/2,民营企业,,,深圳市鹏城会计师事务所有限公司,否,2013
300275.SZ,软件和信息技术服务业,2011/11/2,民营企业,,,大信会计师事务有限公司,否,2013
300276.SZ,专用设备制造业,2011/11/15,民营企业,,,江苏公证天业会计师事务所有限公司,否,2013
300277.SZ,软件和信息技术服务业,2011/11/23,民营企业,,,南京立信永华会计师事务所有限公司,否,2013
300278.SZ,专用设备制造业,2011/12/16,民营企业,罗慧,国内自然人,广东正中珠江会计师事务所有限公司,否,2013
300279.SZ,电气机械及器材制造业,2011/12/29,民营企业,,,立信会计师事务所有限公司,否,2013
300280.SZ,通用设备制造业,2011/12/29,民营企业,,,立信会计师事务所有限公司,否,2013
300281.SZ,专用设备制造业,2011/12/29,民营企业,,,江苏天衡会计师事务所有限公司,否,2013
300282.SZ,计算机、通信和其他电子设备制造业,2011/12/29,民营企业,刘新斌,国内自然人,大华会计师事务所有限公司,否,2013
300283.SZ,电气机械及器材制造业,2012/1/10,民营企业,林萍,国内自然人,天健会计师事务所有限公司,否,2013
300284.SZ,专业技术服务业,2012/1/10,民营企业,,,京都天华会计师事务所有限公司,否,2013
300285.SZ,化学原料及化学制品制造业,2012/1/13,民营企业,,,天健正信会计师事务所有限公司,否,2013
300286.SZ,仪器仪表制造业,2012/1/13,民营企业,,,华普天健会计师事务所(北京)有限公司,否,2013
300287.SZ,软件和信息技术服务业,2012/2/1,民营企业,王守言,国内自然人,华普天健会计师事务所(北京)有限公司,否,2013
300288.SZ,电信、广播电视和卫星传输服务,2012/2/16,民营企业,,,中天运会计师事务所有限公司,否,2013
300289.SZ,医药制造业,2012/2/16,民营企业,沈广仟,国内自然人,立信会计师事务所(特殊普通合伙),否,2013
300290.SZ,软件和信息技术服务业,2012/2/16,民营企业,,,中瑞岳华会计师事务所(特殊普通合伙),否,2013
300291.SZ,广播、电视、电影和影视录音制作业,2012/2/9,国有企业,中国华录集团有限公司,国有企业,江苏公证天业会计师事务所有限公司,否,2013
300292.SZ,计算机、通信和其他电子设备制造业,2012/2/29,民营企业,,,华普天健会计师事务所(北京)有限公司,否,2013
300293.SZ,专用设备制造业,2012/3/8,民营企业,郭洪生,国内自然人,大华会计师事务所有限公司,否,2013
300294.SZ,医药制造业,2012/3/8,民营企业,,,北京永拓会计师事务所有限责任公司,否,2013
300295.SZ,互联网和相关服务,2012/3/15,民营企业,,,信永中和会计师事务所有限责任公司,否,2013
300296.SZ,计算机、通信和其他电子设备制造业,2012/3/15,民营企业,,,天健正信会计师事务所有限公司,否,2013
300297.SZ,软件和信息技术服务业,2012/3/15,民营企业,,,立信会计师事务所(特殊普通合伙),否,2013
300298.SZ,专用设备制造业,2012/3/19,民营企业,,,大华会计师事务所有限公司,否,2013
300299.SZ,软件和信息技术服务业,2012/3/19,民营企业,缪品章,国内自然人,中磊会计师事务所有限责任公司,否,2013
300300.SZ,软件和信息技术服务业,2012/3/19,民营企业,王麒诚,自然人,亚泰(集团)会计师事务所有限公司,否,2013
300301.SZ,计算机、通信和其他电子设备制造业,2012/3/21,民营企业,,,天健会计师事务所(特殊普通合伙),否,2013
300302.SZ,软件和信息技术服务业,2012/3/21,民营企业,,,江苏天华大彭会计师事务所有限公司,否,2013
300303.SZ,计算机、通信和其他电子设备制造业,2012/3/19,民营企业,,,天健会计师事务所有限公司,否,2013
300304.SZ,汽车制造业,2012/3/21,民营企业,付红玲,国内自然人,天健会计师事务所(特殊普通合伙),否,2013
300305.SZ,橡胶和塑料制品业,2012/3/29,民营企业,,,信永中和会计师事务所有限公司,否,2013
300306.SZ,仪器仪表制造业,2012/3/29,民营企业,孟欣,国内自然人,信永中和会计师事务所有限责任公司,否,2013
300307.SZ,专用设备制造业,2012/3/29,民营企业,孙平范,国内自然人,立信会计师事务所(特殊普通合伙),否,2013
300308.SZ,专用设备制造业,2012/4/10,民营企业,王伟修,国内自然人,北京永拓会计师事务所有限责任公司,否,2013
300309.SZ,仪器仪表制造业,2012/4/10,民营企业,,,北京兴华会计师事务所有限责任公司,否,2013
300310.SZ,电信、广播电视和卫星传输服务,2012/4/25,民营企业,,,天健正信会计师事务所有限公司,否,2013
300311.SZ,软件和信息技术服务业,2012/4/25,民营企业,,,天健会计师事务所,否,2013
300312.SZ,软件和信息技术服务业,2012/5/8,民营企业,戴芙蓉,国内自然人,天健正信会计师事务所有限公司,否,2013
300313.SZ,畜牧业,2012/4/25,民营企业,李刚,国内自然人,天健会计师事务所(特殊普通合伙),否,2013
300314.SZ,专用设备制造业,2012/5/8,民营企业,,,大华会计师事务所有限公司,否,2013
300315.SZ,软件和信息技术服务业,2012/5/11,民营企业,,,利安达会计师事务所有限责任公司,否,2013
300316.SZ,专用设备制造业,2012/5/11,民营企业,曹建伟,国内自然人,深圳市鹏城会计师事务所有限公司,否,2013
300317.SZ,电气机械及器材制造业,2012/5/11,民营企业,,,江苏公证天业会计师事务所有限公司,否,2013
300318.SZ,专用设备制造业,2012/5/23,民营企业,郝虹,国内自然人,北京永拓会计师事务所有限责任公司,否,2013
300319.SZ,计算机、通信和其他电子设备制造业,2012/5/23,民营企业,李文燕,国内自然人,深圳市鹏城会计师事务所有限公司,否,2013
300320.SZ,橡胶和塑料制品业,2012/6/1,民营企业,,,大信会计师事务有限公司,否,2013
300321.SZ,橡胶和塑料制品业,2012/5/23,民营企业,孙俊成,国内自然人,信永中和会计师事务所,否,2013
300322.SZ,计算机、通信和其他电子设备制造业,2012/6/8,民营企业,朱坤华,国内自然人,立信会计师事务所(特殊普通合伙),否,2013
300323.SZ,计算机、通信和其他电子设备制造业,2012/6/1,民营企业,,,立信会计师事务所(特殊普通合伙),否,2013
300324.SZ,软件和信息技术服务业,2012/6/8,民营企业,,,上海众华沪银会计师事务所有限公司,否,2013
300325.SZ,橡胶和塑料制品业,2012/6/1,民营企业,周建明,国内自然人,中审国际会计师事务所有限公司,否,2013
300326.SZ,专用设备制造业,2012/6/13,其他,,,天健会计师事务所（特殊普通合伙）,否,2013
300327.SZ,计算机、通信和其他电子设备制造业,2012/6/13,其他,傅启明,港澳台自然人,立信会计师事务所,否,2013
300328.SZ,金属制品业,2012/6/19,其他,李扬德,港澳台自然人,立信会计师事务所（特殊普通合伙）,否,2013
300329.SZ,文教、工美、体育和娱乐用品制造业,2012/6/19,民营企业,陈海伦,自然人,信永中和会计师事务所有限责任公司,否,2013
300330.SZ,软件和信息技术服务业,2012/6/19,国有企业,上海市国有资产监督管理委员会,地方机构,利安达会计师事务所有限责任公司,否,2013
