证券代码,所属行业,上市时间,公司性质,实际控制人,控制人类型,聘请的会计师事务所,是否在境外上市,统计年度
000001.SZ,货币金融服务,1991/4/3,其他,,,普华永道中天会计师事务所,否,2015
000002.SZ,房地产业,1991/1/29,国有企业,,,毕马威华振会计师事务所(特殊普通合伙),是,2015
000004.SZ,医药制造业,1991/1/14,民营企业,李林琳,自然人,中审亚太会计师事务所(特殊普通合伙),否,2015
000005.SZ,生态保护和环境治理业,1990/12/10,民营企业,丁芃;郑列列,自然人,中审众环会计师事务所(特殊普通合伙),否,2015
000006.SZ,房地产业,1992/4/27,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000007.SZ,住宿业,1992/4/13,民营企业,吴日松;陈卓婷夫妇,自然人,亚太(集团)会计师事务所(特殊普通合伙),否,2015
000008.SZ,铁路、船舶、航空航天和其它运输设备制造业,1992/5/7,民营企业,文炳荣,自然人,大信会计师事务所(特殊普通合伙),否,2015
000009.SZ,综合,1991/6/25,民营企业,,,中审众环会计师事务所(特殊普通合伙),否,2015
000010.SZ,土木工程建筑业,1995/10/27,民营企业,郑方,自然人,亚太(集团)会计师事务所(特殊普通合伙),否,2015
000011.SZ,房地产业,1992/3/30,国有企业,深圳市国有资产监督管理委员会,政府机构,中审众环会计师事务所(特殊普通合伙),否,2015
000012.SZ,非金属矿物制品业,1992/2/28,其他,,,普华永道中天会计师事务所(特殊普通合伙),否,2015
000014.SZ,房地产业,1992/6/2,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000016.SZ,计算机、通信和其他电子设备制造业,1992/3/27,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000017.SZ,铁路、船舶、航空航天和其它运输设备制造业,1993/3/31,民营企业,纪汉飞,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000018.SZ,纺织业,1992/6/16,民营企业,陈略,自然人,立信会计师事务所(特殊普通合伙),否,2015
000019.SZ,酒、饮料和精制茶制造业,1992/10/12,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000020.SZ,计算机、通信和其他电子设备制造业,1992/4/28,民营企业,李中秋,自然人,信永中和会计师事务所(特殊普通合伙),否,2015
000021.SZ,计算机、通信和其他电子设备制造业,1994/2/2,国有企业,国务院国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
000022.SZ,水上运输业,1993/5/5,国有企业,国务院国有资产监督管理委员会,政府机构,德勤华永会计师事务所(特殊普通合伙),否,2015
000023.SZ,非金属矿物制品业,1993/4/29,民营企业,,,大华会计师事务所(特殊普通合伙),否,2015
000025.SZ,批发业,1993/6/21,国有企业,深圳市国有资产监督管理局,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000026.SZ,零售业,1993/6/3,国有企业,国务院国有资产监督管理委员会,政府机构,致同会计师事务所(特殊普通合伙),否,2015
000027.SZ,电力、热力生产和供应业,1993/9/3,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,德勤华永会计师事务所(特殊普通合伙),否,2015
000028.SZ,批发业,1993/8/9,国有企业,国务院国有资产监督管理委员会,政府机构,普华永道中天会计师事务所(特殊普通合伙),否,2015
000029.SZ,房地产业,1993/9/15,国有企业,深圳市国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000030.SZ,汽车制造业,1993/9/29,国有企业,吉林省国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000031.SZ,房地产业,1993/10/8,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000032.SZ,批发业,1993/10/28,国有企业,国务院国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
000033.SZ,住宿业,1994/1/3,民营企业,郭耀名,自然人,天健会计师事务所(特殊普通合伙),否,2015
000034.SZ,综合,1994/5/9,民营企业,王晓岩,自然人,信永中和会计师事务所(特殊普通合伙),否,2015
000035.SZ,生态保护和环境治理业,1994/4/8,民营企业,严圣军;茅洪菊,自然人,立信会计师事务所(特殊普通合伙),否,2015
000036.SZ,房地产业,1994/6/17,民营企业,,,大华会计师事务所(特殊普通合伙),否,2015
000037.SZ,电力、热力生产和供应业,1994/7/1,国有企业,,,瑞华会计师事务所(特殊普通合伙),否,2015
000038.SZ,房地产业,1994/8/8,民营企业,姜剑,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000039.SZ,金属制品业,1994/4/8,其他,,,普华永道中天会计师事务所(特殊普通合伙),是,2015
000040.SZ,房地产业,1994/8/8,民营企业,李兆廷,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000042.SZ,房地产业,1994/9/21,其他,黄光苗,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000043.SZ,房地产业,1994/9/28,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000045.SZ,计算机、通信和其他电子设备制造业,1994/8/15,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,中勤万信会计师事务所(特殊普通合伙),否,2015
000046.SZ,房地产业,1994/9/12,民营企业,卢志强,自然人,立信会计师事务所(特殊普通合伙),否,2015
000048.SZ,农副食品加工业,1994/11/1,民营企业,罗爱华,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000049.SZ,电气机械及器材制造业,1995/3/20,国有企业,惠州市国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000050.SZ,计算机、通信和其他电子设备制造业,1995/3/15,国有企业,国务院国有资产监督管理委员会,政府机构,普华永道中天会计师事务所(特殊普通合伙),否,2015
000055.SZ,金属制品业,1996/4/15,民营企业,熊建明,自然人,致同会计师事务所(特殊普通合伙),否,2015
000056.SZ,房地产业,1996/7/8,民营企业,郑康豪,自然人,立信会计师事务所(特殊普通合伙),否,2015
000058.SZ,商务服务业,1996/12/26,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000059.SZ,石油加工、炼焦及核燃料加工业,1997/1/30,国有企业,中国兵器工业集团公司,国有企业,瑞华会计师事务所(特殊普通合伙),否,2015
000060.SZ,有色金属冶炼和压延加工业,1997/1/23,国有企业,广东省国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000061.SZ,商务服务业,1997/1/10,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000062.SZ,商务服务业,1997/1/30,民营企业,,,瑞华会计师事务所(特殊普通合伙),否,2015
000063.SZ,计算机、通信和其他电子设备制造业,1997/11/18,国有企业,,,安永华明会计师事务所(特殊普通合伙)，安永会计师事务所,是,2015
000065.SZ,土木工程建筑业,1998/6/5,国有企业,中国兵器装备集团公司;中国兵器工业集团公司,国有企业,瑞华会计师事务所(特殊普通合伙),否,2015
000066.SZ,计算机、通信和其他电子设备制造业,1997/6/26,国有企业,国务院国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
000068.SZ,计算机、通信和其他电子设备制造业,1997/6/11,国有企业,黄俞,自然人,大华会计师事务所(特殊普通合伙),否,2015
000069.SZ,公共设施管理业,1997/9/10,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000070.SZ,电气机械及器材制造业,2000/5/11,国有企业,深圳市国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000078.SZ,零售业,1998/12/18,民营企业,张思民,自然人,致同会计师事务所(特殊普通合伙),否,2015
000088.SZ,道路运输业,1997/7/28,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000089.SZ,航空运输业,1998/4/20,国有企业,深圳市国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000090.SZ,土木工程建筑业,1999/7/21,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000096.SZ,批发业,2000/7/24,国有企业,深圳市南山区国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000099.SZ,航空运输业,2000/7/31,国有企业,财政部,政府机构,北京永拓会计师事务所(特殊普通合伙),否,2015
000100.SZ,计算机、通信和其他电子设备制造业,2004/1/30,国有企业,,,大华会计师事务所(特殊普通合伙),否,2015
000150.SZ,房地产业,2000/8/7,民营企业,刘绍喜,自然人,信永中和会计师事务所(特殊普通合伙),否,2015
000151.SZ,批发业,2000/9/6,国有企业,国务院国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
000153.SZ,医药制造业,2000/9/20,民营企业,李荣杰,自然人,北京中证天通会计师事务所(特殊普通合伙),否,2015
000155.SZ,化学原料及化学制品制造业,2000/9/26,国有企业,四川省国有资产监督管理委员会,政府机构,四川华信(集团)会计师事务所(特殊普通合伙),否,2015
000156.SZ,广播、电视、电影和影视录音制作业,2000/9/6,国有企业,浙江省财政厅;杭州市财政局,政府机构,天健会计师事务所(特殊普通合伙),否,2015
000157.SZ,专用设备制造业,2000/10/12,其他,,,天职国际会计师事务所(特殊普通合伙)，毕马威会计师事务所,是,2015
000158.SZ,纺织业,2000/7/24,国有企业,石家庄市国有资产监督管理委员会,政府机构,中兴财光华会计师事务所(特殊普通合伙),否,2015
000159.SZ,批发业,2000/9/26,民营企业,张彦夫,自然人,中审华寅五洲会计师事务所(特殊普通合伙),否,2015
000166.SZ,资本市场服务,2015/1/26,国有企业,中央汇金投资有限责任公司,国有企业,毕马威华振会计师事务所(特殊普通合伙),否,2015
000301.SZ,电力、热力生产和供应业,2000/5/29,国有企业,江苏省吴江市国有(集体)资产监督管理委员会,政府机构,天衡会计师事务所(特殊普通合伙),否,2015
000333.SZ,电气机械及器材制造业,2013/9/18,民营企业,何享健,自然人,普华永道中天会计师事务所(特殊普通合伙),否,2015
000338.SZ,汽车制造业,2007/4/30,国有企业,山东省国有资产监督管理委员会,政府机构,安永华明会计师事务所(特殊普通合伙),是,2015
000400.SZ,电气机械及器材制造业,1997/4/18,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000401.SZ,非金属矿物制品业,1996/6/14,国有企业,唐山市人民政府国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
000402.SZ,房地产业,1996/6/26,国有企业,北京市西城区国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000403.SZ,医药制造业,1996/6/28,民营企业,史珉志,自然人,致同会计师事务所(特殊普通合伙),否,2015
000404.SZ,通用设备制造业,1996/6/19,国有企业,绵阳市国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
000407.SZ,化学原料及化学制品制造业,1996/7/3,民营企业,,,大信会计师事务所(特殊普通合伙),否,2015
000408.SZ,批发业,1996/6/28,民营企业,邵萍;路联,自然人,大信会计师事务所(特殊普通合伙),否,2015
000409.SZ,黑色金属矿采选业,1996/6/27,国有企业,山东省地质矿产勘查开发局,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
000410.SZ,通用设备制造业,1996/7/18,国有企业,沈阳市国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000411.SZ,批发业,1996/7/16,国有企业,国务院国有资产监督管理委员会,政府机构,天职国际会计师事务所(特殊普通合伙),否,2015
000413.SZ,计算机、通信和其他电子设备制造业,1996/9/25,民营企业,李兆廷,自然人,中兴财光华会计师事务所(特殊普通合伙),否,2015
000415.SZ,租赁业,1996/7/16,国有企业,海南航空股份有限公司工会委员会,政府机构,安永华明会计师事务所(特殊普通合伙),否,2015
000416.SZ,其他金融业,1996/7/19,民营企业,卢志强,自然人,山东和信会计师事务所(特殊普通合伙),否,2015
000417.SZ,零售业,1996/8/12,国有企业,合肥市国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000418.SZ,电气机械及器材制造业,1997/3/28,民营企业,何享健,自然人,普华永道中天会计师事务所(特殊普通合伙),否,2015
000419.SZ,零售业,1996/8/16,国有企业,长沙市国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
000420.SZ,化学纤维制造业,1996/8/2,国有企业,吉林市人民政府国有资产监督管理委员会,政府机构,中准会计师事务所(特殊普通合伙),否,2015
000421.SZ,燃气生产和供应业,1996/8/6,国有企业,南京市人民政府国有资产监督管理委员会,政府机构,天衡会计师事务所(特殊普通合伙),否,2015
000422.SZ,化学原料及化学制品制造业,1996/8/15,国有企业,宜昌市国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
000423.SZ,医药制造业,1996/7/29,国有企业,国务院国有资产监督管理委员会,政府机构,德勤华永会计师事务所(特殊普通合伙),否,2015
000425.SZ,专用设备制造业,1996/8/28,国有企业,徐州市人民政府,政府机构,江苏苏亚金诚会计师事务所(特殊普通合伙),否,2015
000426.SZ,有色金属矿采选业,1996/8/28,民营企业,吉兴业,自然人,天衡会计师事务所(特殊普通合伙),否,2015
000428.SZ,住宿业,1996/8/8,国有企业,湖南省国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
000429.SZ,道路运输业,1998/2/20,国有企业,广东省国有资产监督管理委员会,政府机构,广东正中珠江会计师事务所(特殊普通合伙),否,2015
000430.SZ,公共设施管理业,1996/8/29,国有企业,张家界市人民政府国有资产监督管理委员会,政府机构,天职国际会计师事务所(特殊普通合伙),否,2015
000488.SZ,造纸及纸制品业,2000/11/20,国有企业,寿光市国有资产监督管理办公室,政府机构,瑞华会计师事务所(特殊普通合伙),是,2015
000498.SZ,土木工程建筑业,1997/6/9,国有企业,山东省国资委,政府机构,北京中证天通会计师事务所(特殊普通合伙),否,2015
000501.SZ,零售业,1992/11/20,国有企业,武汉市国有资产监督管理委员会,政府机构,中审众环会计师事务所(特殊普通合伙),否,2015
000502.SZ,房地产业,1992/11/23,民营企业,余斌,自然人,立信会计师事务所(特殊普通合伙),否,2015
000503.SZ,互联网和相关服务,1992/11/30,民营企业,康乔,自然人,大华会计师事务所(特殊普通合伙),否,2015
000504.SZ,新闻和出版业,1992/12/8,国有企业,湖南省财政厅,政府机构,利安达会计师事务所(特殊普通合伙),否,2015
000505.SZ,房地产业,1992/12/21,国有企业,北京市国有资产监督管理委员会,政府机构,中兴华会计师事务所(特殊普通合伙),否,2015
000506.SZ,有色金属矿采选业,1993/3/12,民营企业,卢粉,自然人,山东和信会计师事务所(特殊普通合伙),否,2015
000507.SZ,水上运输业,1993/3/26,国有企业,珠海市人民政府国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
000509.SZ,橡胶和塑料制品业,1993/5/7,民营企业,李中,自然人,亚太(集团)会计师事务所(特殊普通合伙),否,2015
000510.SZ,化学原料及化学制品制造业,1993/5/7,国有企业,德阳市国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
000511.SZ,非金属矿物制品业,1993/5/18,民营企业,刘成文,自然人,北京中证天通会计师事务所(特殊普通合伙),否,2015
000513.SZ,医药制造业,1993/10/28,其他,朱保国,自然人,瑞华会计师事务所(特殊普通合伙),是,2015
000514.SZ,房地产业,1993/7/12,国有企业,重庆市国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
000516.SZ,零售业,1993/8/9,民营企业,刘建申,自然人,希格玛会计师事务所(特殊普通合伙),否,2015
000517.SZ,房地产业,1993/8/6,民营企业,王久芳,自然人,天衡会计师事务所(特殊普通合伙),否,2015
000518.SZ,医药制造业,1993/9/8,民营企业,,,立信会计师事务所(特殊普通合伙),否,2015
000519.SZ,非金属矿物制品业,1993/10/8,国有企业,国务院国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000520.SZ,水上运输业,1993/10/25,国有企业,陈德顺,自然人,信永中和会计师事务所(特殊普通合伙),否,2015
000521.SZ,电气机械及器材制造业,1993/10/18,国有企业,绵阳市国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
000523.SZ,化学原料及化学制品制造业,1993/11/8,国有企业,广州市人民政府国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
000524.SZ,住宿业,1993/11/18,国有企业,广州市人民政府国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
000525.SZ,化学原料及化学制品制造业,1993/10/28,民营企业,杨寿海,自然人,立信会计师事务所(特殊普通合伙),否,2015
000526.SZ,房地产业,1993/11/1,民营企业,廖春荣,自然人,利安达会计师事务所(特殊普通合伙),否,2015
000528.SZ,专用设备制造业,1993/11/18,国有企业,广西壮族自治区国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000529.SZ,农副食品加工业,1993/11/18,国有企业,广东省国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
000530.SZ,通用设备制造业,1993/12/8,国有企业,大连市人民政府国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000531.SZ,电力、热力生产和供应业,1994/1/6,国有企业,广州开发区管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
000532.SZ,综合,1994/1/3,国有企业,珠海市人民政府国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000533.SZ,电气机械及器材制造业,1994/1/3,民营企业,张明园,自然人,大华会计师事务所(特殊普通合伙),否,2015
000534.SZ,房地产业,1994/1/10,民营企业,林伟光,自然人,立信会计师事务所(特殊普通合伙),否,2015
000536.SZ,计算机、通信和其他电子设备制造业,1993/11/26,其他,大同股份有限公司,股份有限公司,福建华兴会计师事务所(特殊普通合伙),否,2015
000537.SZ,房地产业,1993/12/10,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000538.SZ,医药制造业,1993/12/15,国有企业,云南省国有资产监督管理委员会,政府机构,中审众环会计师事务所(特殊普通合伙),否,2015
000539.SZ,电力、热力生产和供应业,1993/11/26,国有企业,广东省人民政府国有资产监督管理委员会,政府机构,毕马威华振会计师事务所(特殊普通合伙),否,2015
000540.SZ,房地产业,1994/2/2,民营企业,罗玉平,自然人,信永中和会计师事务所(特殊普通合伙),否,2015
000541.SZ,电气机械及器材制造业,1993/11/23,其他,广东省人民政府国有资产监督管理委员会,政府机构,广东正中珠江会计师事务所(特殊普通合伙),否,2015
000543.SZ,电力、热力生产和供应业,1993/12/20,国有企业,安徽省国有资产监督管理委员会,政府机构,天职国际会计师事务所(特殊普通合伙),否,2015
000544.SZ,水的生产和供应业,1993/12/8,国有企业,郑州市人民政府,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000545.SZ,化学原料及化学制品制造业,1993/12/15,民营企业,郭金林;郭金东,自然人,立信会计师事务所(特殊普通合伙),否,2015
000546.SZ,非金属矿物制品业,1993/12/15,民营企业,赵璧生;赵辉,自然人,中汇会计师事务所(特殊普通合伙),否,2015
000547.SZ,计算机、通信和其他电子设备制造业,1993/11/30,国有企业,国务院国有资产监督管理委员会,政府机构,福建华兴会计师事务所(特殊普通合伙),否,2015
000548.SZ,道路运输业,1993/12/20,国有企业,长沙市国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
000550.SZ,汽车制造业,1993/12/1,国有企业,国务院国有资产监督管理委员会,政府机构,普华永道中天会计师事务所(特殊普通合伙),否,2015
000551.SZ,综合,1994/1/6,国有企业,苏州市人民政府,政府机构,江苏公证天业会计师事务所(特殊普通合伙),否,2015
000552.SZ,煤炭开采和洗选业,1994/1/6,国有企业,甘肃省国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000553.SZ,化学原料及化学制品制造业,1993/12/3,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000554.SZ,批发业,1993/12/15,国有企业,国务院国有资产监督管理委员会,政府机构,致同会计师事务所(特殊普通合伙),否,2015
000555.SZ,软件和信息技术服务业,1994/4/8,其他,,,信永中和会计师事务所(特殊普通合伙),否,2015
000557.SZ,铁路运输业,1994/6/17,国有企业,宁夏回族自治区人民政府,政府机构,希格玛会计师事务所(特殊普通合伙),否,2015
000558.SZ,房地产业,1994/5/9,民营企业,高继胜,自然人,华普天健会计师事务所(特殊普通合伙),否,2015
000559.SZ,汽车制造业,1994/1/10,民营企业,鲁冠球,自然人,天健会计师事务所(特殊普通合伙),否,2015
000560.SZ,零售业,1994/2/2,民营企业,谢勇,自然人,中审众环会计师事务所(特殊普通合伙),否,2015
000561.SZ,计算机、通信和其他电子设备制造业,1994/5/9,国有企业,陕西省人民政府国有资产监督管理委员会,政府机构,希格玛会计师事务所(特殊普通合伙),否,2015
000563.SZ,其他金融业,1994/1/10,国有企业,陕西省人民政府国有资产监督管理委员会,政府机构,希格玛会计师事务所(特殊普通合伙),否,2015
000564.SZ,零售业,1994/1/10,国有企业,海南航空股份有限公司工会委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
000565.SZ,化学原料及化学制品制造业,1994/4/8,国有企业,重庆市国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
000566.SZ,医药制造业,1994/5/25,民营企业,刘悉承,自然人,天健会计师事务所(特殊普通合伙),否,2015
000567.SZ,房地产业,1994/5/25,民营企业,王广西,自然人,立信会计师事务所(特殊普通合伙),否,2015
000568.SZ,酒、饮料和精制茶制造业,1994/5/9,国有企业,泸州市国有资产监督管理委员会,政府机构,四川华信(集团)会计师事务所(特殊普通合伙),否,2015
000570.SZ,通用设备制造业,1994/7/1,国有企业,常州市人民政府国有资产监督管理委员会,政府机构,江苏公证天业会计师事务所(特殊普通合伙),否,2015
000571.SZ,煤炭开采和洗选业,1994/5/25,民营企业,赵序宏,自然人,立信会计师事务所(特殊普通合伙),否,2015
000572.SZ,汽车制造业,1994/8/8,民营企业,景柱,自然人,立信会计师事务所(特殊普通合伙),否,2015
000573.SZ,房地产业,1994/8/15,民营企业,陈林,自然人,广东正中珠江会计师事务所(特殊普通合伙),否,2015
000576.SZ,造纸及纸制品业,1994/9/7,民营企业,胡成中,自然人,广东正中珠江会计师事务所(特殊普通合伙),否,2015
000581.SZ,汽车制造业,1998/9/24,国有企业,江苏省无锡市国有资产监督管理委员会,政府机构,江苏公证天业会计师事务所(特殊普通合伙),否,2015
000582.SZ,水上运输业,1995/11/2,国有企业,广西壮族自治区国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000584.SZ,化学纤维制造业,1995/11/28,民营企业,缪双大,自然人,天衡会计师事务所(特殊普通合伙),否,2015
000585.SZ,电气机械及器材制造业,1995/12/13,其他,田莉,自然人,瑞华会计师事务所(特殊普通合伙),是,2015
000586.SZ,计算机、通信和其他电子设备制造业,1995/12/20,民营企业,,,天健会计师事务所(特殊普通合伙),否,2015
000587.SZ,其他制造业,1996/4/25,民营企业,朱要文,自然人,大信会计师事务所(特殊普通合伙),否,2015
000589.SZ,橡胶和塑料制品业,1996/3/8,国有企业,贵阳市人民政府国有资产监督管理委员会,政府机构,众华会计师事务所(特殊普通合伙),否,2015
000590.SZ,医药制造业,1996/1/19,国有企业,教育部,政府机构,天职国际会计师事务所(特殊普通合伙),否,2015
000591.SZ,电力、热力生产和供应业,1996/2/8,国有企业,太极集团有限公司,国有企业,瑞华会计师事务所(特殊普通合伙),否,2015
000592.SZ,林业,1996/3/27,民营企业,刘平山,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000593.SZ,零售业,1996/3/12,民营企业,李占通,自然人,四川华信(集团)会计师事务所(特殊普通合伙),否,2015
000595.SZ,通用设备制造业,1996/4/19,民营企业,孙珩超,自然人,信永中和会计师事务所(特殊普通合伙),否,2015
000596.SZ,酒、饮料和精制茶制造业,1996/9/27,国有企业,亳州市人民政府,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000597.SZ,医药制造业,1996/5/23,国有企业,沈阳市人民政府国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000598.SZ,水的生产和供应业,1996/5/29,国有企业,成都市国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
000599.SZ,橡胶和塑料制品业,1996/4/30,国有企业,青岛市国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
000600.SZ,电力、热力生产和供应业,1996/6/6,国有企业,河北省国有资产监督管理委员会,政府机构,利安达会计师事务所(特殊普通合伙),否,2015
000601.SZ,电力、热力生产和供应业,1996/8/30,国有企业,韶关市人民政府国有资产监督管理委员会,政府机构,广东正中珠江会计师事务所(特殊普通合伙),否,2015
000603.SZ,有色金属矿采选业,1996/8/23,民营企业,赵满堂,自然人,大华会计师事务所(特殊普通合伙),否,2015
000605.SZ,水的生产和供应业,1996/9/13,国有企业,天津市水务局,政府机构,中审华寅五洲会计师事务所(特殊普通合伙),否,2015
000606.SZ,医药制造业,1996/10/4,国有企业,,,瑞华会计师事务所(特殊普通合伙),否,2015
000607.SZ,新闻和出版业,1996/8/30,民营企业,杭州日报报业集团(杭州日报社),民营企业,瑞华会计师事务所(特殊普通合伙),否,2015
000608.SZ,房地产业,1996/9/19,其他,新加坡政府产业投资有限公司,外资企业,普华永道中天会计师事务所(特殊普通合伙),否,2015
000609.SZ,房地产业,1996/10/10,民营企业,郑宽,自然人,立信会计师事务所(特殊普通合伙),否,2015
000610.SZ,公共设施管理业,1996/9/26,国有企业,西安市人民政府国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
000611.SZ,纺织业,1996/10/8,民营企业,邱士杰,自然人,大华会计师事务所(特殊普通合伙),否,2015
000612.SZ,有色金属冶炼和压延加工业,1996/9/26,国有企业,,,亚太(集团)会计师事务所(特殊普通合伙),否,2015
000613.SZ,住宿业,1997/1/28,民营企业,徐自力,自然人,立信会计师事务所(特殊普通合伙),否,2015
000615.SZ,房地产业,1996/10/16,民营企业,田汉,自然人,中审众环会计师事务所(特殊普通合伙),否,2015
000616.SZ,房地产业,1996/11/8,国有企业,海南航空股份有限公司工会委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000617.SZ,通用设备制造业,1996/10/22,国有企业,中国石油天然气集团公司,国有企业,中天运会计师事务所(特殊普通合伙),否,2015
000619.SZ,橡胶和塑料制品业,1996/10/23,国有企业,安徽省国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000620.SZ,房地产业,1996/10/29,民营企业,傅军,自然人,天健会计师事务所(特殊普通合伙),否,2015
000622.SZ,专用设备制造业,1996/11/7,民营企业,李日晶,自然人,亚太(集团)会计师事务所(特殊普通合伙),否,2015
000623.SZ,医药制造业,1996/10/28,民营企业,李秀林;郭淑芹;敦化市金源投资有限责任公司,自然人,立信会计师事务所(特殊普通合伙),否,2015
000625.SZ,汽车制造业,1997/6/10,国有企业,国务院国有资产监督管理委员会,政府机构,安永华明会计师事务所(特殊普通合伙),否,2015
000626.SZ,批发业,1996/11/28,民营企业,胡凯军,自然人,天衡会计师事务所(特殊普通合伙),否,2015
000627.SZ,化学原料及化学制品制造业,1996/11/12,民营企业,刘益谦,自然人,大信会计师事务所(特殊普通合伙),否,2015
000628.SZ,房屋建筑业,1996/11/18,国有企业,成都高新技术产业开发区管理委员会,政府机构,四川华信(集团)会计师事务所(特殊普通合伙),否,2015
000629.SZ,黑色金属矿采选业,1996/11/15,国有企业,鞍钢集团公司,国有企业,瑞华会计师事务所(特殊普通合伙),否,2015
