stkcd,year,lnfees,opinion_dum
000001,2002,14.954944841152638,0
000001,2003,15.176487111099874,0
000001,2004,15.319587954740548,1
000001,2011,15.918424455829252,0
000001,2005,15.973069878908062,0
000001,2006,15.858028745539512,0
000001,2007,15.363073066680286,0
000001,2008,15.545394623474241,0
000001,2009,15.525698373498518,0
000001,2010,15.64167145390966,0
000001,2012,16.24208163073931,0
000001,2013,16.075188149947042,0
000001,2014,16.085159150712055,0
000001,2015,16.124673966318444,0
000001,2016,16.110063479261054,0
000002,2002,14.381449171783176,0
000002,2003,14.38405777029089,0
000002,2004,16.031455477791297,0
000002,2005,14.755693582258031,0
000002,2006,15.321570432776172,0
000002,2007,15.520258650202699,0
000002,2010,15.81021087118902,0
000002,2011,15.955576721460545,0
000002,2008,15.830413578506539,0
000002,2009,15.732433170146335,0
000002,2012,15.955576721460545,0
000002,2013,15.955576721460545,0
000002,2014,16.166885815127753,0
000002,2015,16.166885815127753,0
000002,2016,16.166885815127753,0
000005,2003,13.217673557208654,1
000005,2004,13.304684934198283,1
000005,2005,13.304684934198283,1
000005,2009,13.304684934198283,1
000005,2010,13.304684934198283,1
000005,2011,13.304684934198283,1
000005,2006,13.304684934198283,1
000005,2007,13.304684934198283,0
000005,2008,13.304684934198283,0
000005,2002,13.122363377404328,1
000005,2012,13.304684934198283,1
000005,2013,13.304684934198283,1
000005,2014,13.304684934198283,1
000005,2015,14.077874822431765,1
000005,2016,14.077874822431765,1
000006,2002,13.42984807715229,0
000006,2003,13.42984807715229,0
000006,2004,13.42984807715229,0
000006,2005,13.353475098367715,0
000006,2007,12.84792653170257,0
000006,2008,12.84792653170257,0
000006,2009,13.017002861746503,0
000006,2010,13.017002861746503,0
000006,2011,13.017002861746503,0
000006,2006,12.84792653170257,0
000006,2012,13.217673557208654,0
000006,2013,13.592367006650065,0
000006,2014,13.592367006650065,0
000006,2015,13.592367006650065,0
000006,2016,13.592367006650065,0
000008,2002,12.793859310432293,1
000008,2003,12.100712129872347,0
000008,2004,11.982929094215963,0
000008,2011,11.918390573078392,0
000008,2008,11.918390573078392,0
000008,2009,11.918390573078392,0
000008,2010,11.918390573078392,0
000008,2005,12.100712129872347,0
000008,2006,12.100712129872347,0
000008,2007,NA,0
000008,2012,12.793859310432293,0
000008,2013,12.793859310432293,0
000008,2014,13.304684934198283,0
000008,2015,13.710150042306449,0
000008,2016,13.9108207377686,0
000009,2011,13.710150042306449,0
000009,2002,13.217673557208654,0
000009,2003,13.217673557208654,0
000009,2004,13.304684934198283,0
000009,2010,13.710150042306449,0
000009,2005,13.304684934198283,1
000009,2006,13.304684934198283,0
000009,2007,13.304684934198283,0
000009,2008,13.710150042306449,0
000009,2009,13.710150042306449,0
000009,2012,14.22097566607244,0
000009,2013,14.22097566607244,0
000009,2014,14.22097566607244,0
000009,2015,14.28551418721001,0
000009,2016,14.28551418721001,0
000010,2011,12.429216196844383,0
000010,2010,12.429216196844383,1
000010,2002,12.611537753638338,0
000010,2006,12.611537753638338,0
000010,2007,12.429216196844383,0
000010,2003,12.611537753638338,0
000010,2004,12.611537753638338,0
000010,2005,12.611537753638338,1
000010,2008,12.429216196844383,0
000010,2009,12.429216196844383,1
000010,2012,12.429216196844383,0
000010,2013,13.217673557208654,0
000010,2014,13.458835614025542,0
000010,2015,14.508657738524219,0
000010,2016,14.430696197054507,1
000011,2011,13.337474757021274,0
000011,2002,12.89921982609012,1
000011,2003,13.122363377404328,1
000011,2004,13.122363377404328,1
000011,2005,13.217673557208654,1
000011,2006,13.592367006650065,1
000011,2007,13.081541382884074,0
000011,2008,13.081541382884074,0
000011,2009,13.16158409055761,0
000011,2010,13.16158409055761,0
000011,2012,13.527828485512494,0
000011,2013,13.527828485512494,0
000011,2014,13.527828485512494,0
000011,2015,13.527828485512494,0
000011,2016,13.527828485512494,0
000012,2011,14.940440154949757,0
000012,2002,14.137594057133388,0
000012,2003,14.22097566607244,0
000012,2004,14.419826524817603,0
000012,2005,14.508657738524219,0
000012,2006,14.77102200299171,0
000012,2007,14.978661367769956,0
000012,2008,14.907433858481587,0
000012,2009,14.907433858481587,0
000012,2010,14.940440154949757,0
000012,2012,15.131918791619999,0
000012,2013,14.962913010801817,0
000012,2014,14.930652148583594,0
000012,2015,14.930652148583594,0
000012,2016,14.946912669455374,0
000014,2010,12.948009990259552,0
000014,2011,12.948009990259552,0
000014,2002,12.611537753638338,0
000014,2003,13.122363377404328,0
000014,2004,12.765688433465597,0
000014,2005,12.611537753638338,0
000014,2006,12.611537753638338,0
000014,2007,12.676076274775909,0
000014,2008,12.948009990259552,0
000014,2009,12.948009990259552,0
000014,2012,13.199324418540456,0
000014,2013,13.199324418540456,0
000014,2014,13.199324418540456,0
000014,2015,13.199324418540456,0
000014,2016,13.199324418540456,0
000016,2010,13.592367006650065,0
000016,2003,13.592367006650065,0
000016,2004,13.592367006650065,0
000016,2005,13.981024996441848,0
000016,2006,13.981024996441848,0
000016,2008,13.500799813124575,0
000016,2009,13.500799813124575,0
000016,2007,13.500799813124575,0
000016,2011,13.592367006650065,0
000016,2002,13.592367006650065,1
000016,2012,13.997832114758229,0
000016,2013,14.151982794585487,0
000016,2014,14.151982794585487,0
000016,2015,14.28551418721001,0
000016,2016,14.28551418721001,0
000017,2002,13.235692062711331,0
000017,2003,12.706847933442663,0
000017,2004,12.706847933442663,1
000017,2005,12.706847933442663,1
000017,2006,12.706847933442663,1
000017,2007,13.122363377404328,1
000017,2008,13.122363377404328,1
000017,2009,13.122363377404328,1
000017,2010,13.122363377404328,1
000017,2011,13.122363377404328,1
000017,2012,13.122363377404328,1
000017,2013,13.122363377404328,1
000017,2014,13.304684934198283,1
000017,2015,13.304684934198283,1
000017,2016,13.304684934198283,1
000018,2009,12.611537753638338,1
000018,2010,12.611537753638338,1
000018,2011,12.611537753638338,1
000018,2002,12.958525931987527,0
000018,2003,12.987544298925265,0
000018,2004,13.337695861608111,0
000018,2005,13.257182690303367,0
000018,2006,12.89921982609012,0
000018,2007,12.611537753638338,1
