stkcd,year,ind,grev,lev,roa,roegrate,peratio,soe,saction,lnassets,loss,ndts,complex
000005,2013,K70,-0.476352,0.474831,-0.033763,-0.084819,-53.981514,0,6,20.896087368559378,0,0.004111349097112199,0.014485707244304117
000005,2014,K70,0.013739,0.509964,0.033784,0.072841,86.849519,0,4,21.035638430279057,1,0.003852086123290389,0.012600649273943457
000005,2015,K70,0.593989,0.44704,-0.030349,0.811515,-196.693916,0,1,21.508996205172462,0,0.0022086935713689646,0.1739892026184635
000005,2016,N77,4.72788,0.463708,0.049547,0.117158,61.179557,0,4,21.650391804663464,1,0.0042078463602575385,0.2294157865012537
000006,2002,K70,0.03056,0.690935,0.018709,0.041126,25.428973,1,3,22.225314536640944,1,0.011226495906481575,0.5481428401042308
000006,2003,K70,-0.047437,0.727631,-0.07275,-0.221291,-4.326764,1,3,22.10158892572431,0,0.009589444267453655,0.6261146350911649
000006,2004,K70,-0.055416,0.718999,0.01221,0.04529,21.474603,1,4,22.114683010278593,1,0.011400383536423708,0.607563658107868
000006,2005,K70,-0.236077,0.557579,0.031709,-0.000217,10.389645,1,2,21.660563172223025,1,0.012634480030964172,0.5474271955389924
000006,2006,K70,-0.125065,0.545582,0.078749,0.174304,15.783555,1,1,21.794481355007314,1,0.007496717767209525,0.453984837038061
000006,2007,K70,-0.183734,0.677418,0.057952,0.354233,26.273068,1,1,22.440379192684563,1,0.004671205354482211,0.6372778493027907
000006,2008,K70,-0.00224,0.716675,0.026147,-0.066015,16.646,1,0,22.50184589299202,1,0.003813608330793285,0.8318024765766823
000006,2009,K70,0.809881,0.698577,0.050816,0.306532,17.141983,1,1,22.707300980255564,1,0.0037562242316234572,0.7447139776265987
000006,2010,K70,0.264703,0.701421,0.062684,0.167139,10.680713,1,1,22.871335447597517,1,0.0026447042849846764,0.6858501189175427
000006,2011,K70,0.107127,0.652855,0.051404,0.12923,9.340639,1,0,22.842165330823622,1,0.0021173049827612755,0.7497571095229693
