,date,open,close,high,low,volume,code
123,2013-09-02,2.918,2.918,2.918,2.918,2183.0,600398
124,2013-09-03,3.209,3.209,3.209,3.209,9410.0,600398
125,2013-09-04,3.534,3.534,3.534,3.534,29205.0,600398
126,2013-09-05,3.885,3.885,3.885,3.885,33744.0,600398
127,2013-09-06,4.27,4.27,4.27,4.27,173375.0,600398
128,2013-09-09,4.698,4.698,4.698,4.493,1596832.0,600398
129,2013-09-10,4.998,5.169,5.169,4.861,802517.0,600398
130,2013-09-11,5.426,5.682,5.682,5.357,446449.0,600398
131,2013-09-12,5.973,5.545,6.247,5.391,1144928.0,600398
132,2013-09-13,5.485,5.271,5.605,5.194,729068.0,600398
133,2013-09-17,5.237,4.767,5.237,4.741,862363.0,600398
134,2013-09-18,4.724,4.801,4.844,4.698,404758.0,600398
135,2013-09-23,4.801,4.955,4.989,4.749,457766.0,600398
136,2013-09-24,4.946,4.895,4.946,4.741,419912.0,600398
137,2013-09-25,4.852,5.032,5.152,4.835,648838.0,600398
138,2013-09-26,4.972,4.732,5.023,4.715,327934.0,600398
139,2013-09-27,4.672,4.578,4.681,4.476,304636.0,600398
140,2013-09-30,4.587,4.732,4.749,4.561,171650.0,600398
141,2013-10-08,4.741,4.844,4.921,4.638,230009.0,600398
142,2013-10-09,4.818,4.955,4.989,4.775,281020.0,600398
143,2013-10-10,4.946,4.818,4.946,4.792,264473.0,600398
144,2013-10-11,4.801,5.006,5.066,4.784,391531.0,600398
145,2013-10-14,4.963,4.852,5.023,4.792,289225.0,600398
146,2013-10-15,4.809,4.724,4.818,4.647,269059.0,600398
147,2013-10-16,4.69,4.707,4.869,4.647,231350.0,600398
148,2013-10-17,4.792,4.741,5.066,4.724,302413.0,600398
149,2013-10-18,4.647,4.852,4.861,4.441,226090.0,600398
150,2013-10-21,4.775,4.921,4.963,4.775,218539.0,600398
151,2013-10-22,4.903,4.989,4.998,4.809,226470.0,600398
152,2013-10-23,5.015,4.861,5.092,4.844,227900.0,600398
153,2013-10-24,4.818,5.032,5.04,4.758,194005.0,600398
154,2013-10-25,5.04,4.938,5.092,4.878,190680.0,600398
155,2013-10-28,4.955,4.638,4.981,4.613,178530.0,600398
156,2013-10-29,4.57,4.604,4.664,4.441,191103.0,600398
157,2013-10-30,4.595,4.69,4.698,4.578,64270.0,600398
158,2013-10-31,4.672,4.553,4.672,4.536,69721.0,600398
159,2013-11-01,4.536,4.587,4.672,4.467,80540.0,600398
160,2013-11-04,4.536,4.664,4.732,4.527,95956.0,600398
161,2013-11-05,4.664,4.818,4.861,4.604,105473.0,600398
162,2013-11-06,4.826,5.109,5.289,4.775,467758.0,600398
163,2013-11-07,5.109,5.04,5.314,4.989,266383.0,600398
164,2013-11-08,4.929,5.16,5.271,4.895,262846.0,600398
165,2013-11-11,5.246,5.135,5.254,5.049,140365.0,600398
166,2013-11-12,5.1,5.075,5.22,4.989,119478.0,600398
167,2013-11-13,5.023,5.006,5.169,4.998,106384.0,600398
168,2013-11-14,4.963,4.972,5.049,4.878,109372.0,600398
169,2013-11-15,4.946,5.049,5.117,4.886,108567.0,600398
170,2013-11-18,5.092,5.383,5.468,5.023,286814.0,600398
171,2013-11-19,5.426,5.468,5.562,5.306,243926.0,600398
172,2013-11-20,5.408,5.485,5.528,5.357,173865.0,600398
173,2013-12-02,5.776,5.314,5.802,4.989,399425.0,600398
174,2013-12-03,5.331,5.528,5.751,5.331,184776.0,600398
175,2013-12-04,5.443,5.528,5.648,5.357,156158.0,600398
176,2013-12-05,5.477,5.528,5.597,5.357,115573.0,600398
177,2013-12-06,5.52,5.674,5.691,5.434,146699.0,600398
178,2013-12-10,5.836,5.913,6.238,5.819,360408.0,600398
179,2013-12-11,5.819,6.059,6.11,5.785,192201.0,600398
180,2013-12-12,6.05,5.973,6.196,5.956,150483.0,600398
181,2013-12-13,5.973,5.93,6.025,5.819,98789.0,600398
182,2013-12-16,5.853,5.982,6.076,5.853,86892.0,600398
183,2013-12-17,5.973,5.948,6.067,5.862,64920.0,600398
184,2013-12-18,5.948,5.614,5.999,5.58,117889.0,600398
185,2013-12-19,5.657,5.485,5.785,5.46,95554.0,600398
186,2013-12-20,5.503,5.503,5.58,5.237,99024.0,600398
187,2013-12-23,5.511,5.468,5.554,5.46,47379.0,600398
188,2013-12-24,5.494,5.477,5.58,5.451,48690.0,600398
189,2013-12-25,5.451,5.528,5.571,5.443,50644.0,600398
190,2013-12-26,5.528,5.622,5.648,5.511,62535.0,600398
191,2013-12-27,5.622,5.913,5.948,5.622,97640.0,600398
192,2013-12-30,5.922,5.973,6.025,5.793,124783.0,600398
193,2013-12-31,5.948,6.059,6.11,5.862,137780.0,600398
194,2014-01-02,6.059,5.999,6.11,5.973,69642.0,600398
195,2014-01-03,5.982,5.93,5.999,5.828,67216.0,600398
196,2014-01-06,5.93,5.811,5.93,5.768,75221.0,600398
197,2014-01-07,5.785,5.948,5.965,5.785,62328.0,600398
198,2014-01-08,5.922,5.948,6.042,5.888,42720.0,600398
199,2014-01-09,5.982,6.05,6.127,5.913,117027.0,600398
200,2014-01-10,6.033,5.888,6.127,5.888,69832.0,600398
201,2014-01-13,5.853,5.853,5.973,5.828,35388.0,600398
202,2014-01-14,5.948,5.973,5.982,5.836,47641.0,600398
203,2014-01-15,5.99,5.896,5.99,5.828,46990.0,600398
204,2014-01-16,5.896,6.102,6.11,5.845,110221.0,600398
205,2014-01-17,6.093,6.067,6.187,5.913,86839.0,600398
206,2014-01-20,6.204,6.196,6.384,6.042,149028.0,600398
207,2014-01-21,6.144,6.102,6.213,6.042,91810.0,600398
208,2014-01-22,6.102,6.213,6.247,6.076,89713.0,600398
209,2014-01-23,6.213,6.324,6.333,6.153,94646.0,600398
210,2014-01-24,6.307,6.957,6.957,6.29,337373.0,600398
211,2014-01-27,7.111,7.043,7.231,6.743,327675.0,600398
212,2014-01-28,6.974,7.308,7.599,6.957,202877.0,600398
213,2014-01-29,7.342,7.522,7.573,7.248,119521.0,600398
214,2014-01-30,7.582,7.522,7.753,7.496,119465.0,600398
215,2014-02-07,7.488,7.445,7.514,7.103,94843.0,600398
216,2014-02-10,7.531,7.514,7.779,7.462,123839.0,600398
217,2014-02-11,7.531,7.3,7.531,7.274,148099.0,600398
218,2014-02-12,7.3,7.531,7.642,7.214,140837.0,600398
219,2014-02-13,7.471,7.505,7.642,7.445,84352.0,600398
220,2014-02-14,7.488,7.95,8.147,7.471,182368.0,600398
221,2014-02-17,7.95,7.959,8.061,7.873,124626.0,600398
222,2014-02-18,7.933,8.19,8.198,7.933,115475.0,600398
223,2014-02-19,8.19,8.215,8.54,8.181,175920.0,600398
224,2014-02-20,8.13,8.241,8.275,8.01,100585.0,600398
225,2014-02-21,8.241,8.053,8.344,7.899,106995.0,600398
226,2014-02-24,8.044,8.053,8.249,7.847,83349.0,600398
227,2014-02-25,8.053,8.19,8.301,8.01,147840.0,600398
228,2014-02-26,8.215,7.822,8.232,7.787,143902.0,600398
229,2014-02-27,7.822,7.334,7.864,7.308,171716.0,600398
230,2014-02-28,7.3,7.745,7.787,7.223,132351.0,600398
231,2014-03-03,7.83,8.113,8.241,7.745,123842.0,600398
232,2014-03-04,8.027,8.018,8.181,7.856,72854.0,600398
233,2014-03-05,8.018,8.113,8.292,8.018,68122.0,600398
234,2014-03-06,8.113,8.044,8.172,7.959,39896.0,600398
235,2014-03-07,8.027,7.95,8.13,7.907,45851.0,600398
236,2014-03-10,7.95,7.864,8.113,7.787,88075.0,600398
237,2014-03-11,7.856,7.967,8.001,7.779,48750.0,600398
238,2014-03-12,7.933,8.027,8.113,7.856,55566.0,600398
239,2014-03-13,8.027,8.036,8.07,7.941,32440.0,600398
240,2014-03-14,8.036,8.326,8.412,8.001,139380.0,600398
241,2014-03-17,8.386,8.344,8.729,8.147,154565.0,600398
242,2014-03-18,8.361,8.249,8.446,8.172,87057.0,600398
243,2014-03-19,8.172,8.172,8.318,8.113,49817.0,600398
244,2014-03-20,8.181,8.19,8.386,8.121,94173.0,600398
245,2014-03-21,8.164,7.882,8.258,7.531,148691.0,600398
246,2014-03-24,7.916,7.787,7.993,7.633,84674.0,600398
247,2014-03-25,7.83,7.976,8.095,7.83,56063.0,600398
248,2014-03-26,7.976,7.941,8.07,7.882,47844.0,600398
249,2014-03-27,8.001,7.804,8.001,7.702,53693.0,600398
250,2014-03-28,7.719,7.89,7.933,7.702,37599.0,600398
251,2014-03-31,7.89,7.839,8.018,7.702,53449.0,600398
252,2014-04-01,7.882,7.864,7.882,7.719,34328.0,600398
253,2014-04-02,7.933,8.087,8.198,7.822,71845.0,600398
254,2014-04-03,8.087,8.113,8.181,8.044,41807.0,600398
255,2014-04-04,8.147,8.121,8.215,8.07,39395.0,600398
256,2014-04-08,8.147,8.429,8.438,8.061,91156.0,600398
257,2014-04-09,8.404,8.455,8.54,8.318,56754.0,600398
258,2014-04-10,8.455,8.746,8.78,8.412,122340.0,600398
259,2014-04-11,8.994,8.284,9.285,8.258,325453.0,600398
260,2014-04-14,8.053,8.352,8.369,7.882,176512.0,600398
261,2014-04-15,8.301,8.044,8.361,8.044,90326.0,600398
262,2014-04-16,8.044,7.993,8.113,7.916,52671.0,600398
263,2014-04-17,8.001,7.984,8.087,7.916,44387.0,600398
264,2014-04-18,7.984,7.907,8.027,7.873,52847.0,600398
265,2014-04-21,7.83,7.976,8.07,7.787,54835.0,600398
266,2014-04-22,7.984,7.779,7.984,7.685,68485.0,600398
267,2014-04-23,7.77,7.488,7.813,7.419,70385.0,600398
268,2014-04-24,7.488,7.514,7.659,7.3,71578.0,600398
269,2014-04-25,7.573,7.787,7.864,7.496,80794.0,600398
270,2014-04-28,7.779,7.539,7.779,7.522,60555.0,600398
271,2014-04-29,7.573,7.719,7.787,7.573,45693.0,600398
272,2014-04-30,7.762,7.71,7.907,7.633,33108.0,600398
273,2014-05-05,7.71,7.779,7.822,7.702,30077.0,600398
274,2014-05-06,7.77,7.753,7.822,7.719,17598.0,600398
275,2014-05-07,7.719,7.488,7.727,7.462,27661.0,600398
276,2014-05-08,7.531,7.3,7.582,7.274,39028.0,600398
277,2014-05-09,7.3,7.171,7.359,7.034,65879.0,600398
278,2014-05-12,7.3,7.265,7.428,7.094,54205.0,600398
279,2014-05-13,7.274,7.274,7.402,7.24,21899.0,600398
280,2014-05-14,7.282,7.368,7.385,7.282,22071.0,600398
281,2014-05-15,7.377,7.248,7.428,7.223,18166.0,600398
282,2014-05-16,7.197,7.214,7.282,7.103,19406.0,600398
283,2014-05-19,7.188,7.231,7.231,7.069,19732.0,600398
284,2014-05-20,7.231,7.291,7.402,7.197,25862.0,600398
285,2014-05-21,7.309,7.344,7.352,7.23,11194.0,600398
286,2014-05-22,7.282,7.484,7.527,7.282,23795.0,600398
287,2014-05-23,7.466,7.79,7.851,7.466,55201.0,600398
288,2014-05-26,7.799,7.877,7.965,7.694,47653.0,600398
289,2014-05-27,7.886,7.93,7.956,7.79,37978.0,600398
290,2014-05-28,7.93,7.947,7.991,7.834,27859.0,600398
291,2014-05-29,7.947,7.834,7.965,7.825,18052.0,600398
292,2014-05-30,7.816,7.729,7.877,7.685,22756.0,600398
293,2014-06-03,7.737,7.737,7.781,7.667,19292.0,600398
