,date,open,close,high,low,volume,code
135,2013-07-31,7.829,7.633,7.921,7.56,96554.0,600867
136,2013-08-01,7.679,7.866,7.87,7.647,75809.0,600867
137,2013-08-02,7.889,7.756,7.921,7.738,72671.0,600867
138,2013-08-05,7.811,8.053,8.08,7.733,81652.0,600867
139,2013-08-06,8.035,8.162,8.281,7.998,90779.0,600867
140,2013-08-07,8.126,7.975,8.208,7.911,70856.0,600867
141,2013-08-08,7.943,8.099,8.176,7.943,55142.0,600867
142,2013-08-09,8.144,8.432,8.477,8.144,140757.0,600867
143,2013-08-12,8.432,8.277,8.446,8.217,80663.0,600867
144,2013-08-13,8.263,8.304,8.4,8.263,43415.0,600867
145,2013-08-14,8.313,8.153,8.368,8.062,89838.0,600867
146,2013-08-15,8.067,7.674,8.121,7.532,211249.0,600867
147,2013-08-16,7.66,7.446,7.784,7.437,114696.0,600867
148,2013-08-19,7.4,7.587,7.729,7.373,84786.0,600867
149,2013-08-20,7.692,7.551,7.738,7.382,109736.0,600867
150,2013-08-21,7.537,7.414,7.555,7.364,92538.0,600867
151,2013-08-22,7.441,7.665,7.733,7.427,122934.0,600867
152,2013-08-23,7.706,7.637,7.733,7.501,62913.0,600867
153,2013-08-26,7.624,7.665,7.715,7.578,73763.0,600867
154,2013-08-27,7.628,7.569,7.688,7.532,48784.0,600867
155,2013-08-28,7.56,7.446,7.56,7.418,65714.0,600867
156,2013-08-29,7.377,7.505,7.56,7.359,60700.0,600867
157,2013-08-30,7.532,7.204,7.532,7.081,147806.0,600867
158,2013-09-02,7.19,7.071,7.19,6.93,147197.0,600867
159,2013-09-03,7.122,7.3,7.464,7.053,101914.0,600867
160,2013-09-04,7.236,7.336,7.35,7.167,55902.0,600867
161,2013-09-05,7.336,7.692,7.788,7.336,143351.0,600867
162,2013-09-06,7.669,7.601,7.733,7.491,67613.0,600867
163,2013-09-09,7.546,7.505,7.697,7.487,66108.0,600867
164,2013-09-10,7.487,7.441,7.742,7.3,131094.0,600867
165,2013-09-11,7.469,7.268,7.51,7.112,125529.0,600867
166,2013-09-12,7.213,7.236,7.281,7.112,66991.0,600867
167,2013-09-13,7.231,7.459,7.491,7.112,91719.0,600867
168,2013-09-16,7.441,7.482,7.51,7.364,49437.0,600867
169,2013-09-17,7.555,7.551,7.761,7.459,95019.0,600867
170,2013-09-18,7.496,7.893,7.921,7.496,151032.0,600867
171,2013-09-23,7.852,8.108,8.181,7.779,123230.0,600867
172,2013-09-24,8.103,8.085,8.181,7.994,53917.0,600867
173,2013-09-25,8.035,7.806,8.112,7.724,99326.0,600867
174,2013-09-26,7.784,8.103,8.112,7.724,102092.0,600867
