,date,open,close,high,low,volume,code
0,2015-02-26,10.602,12.718,12.718,10.602,1493.0,601198
1,2015-02-27,13.988,13.988,13.988,13.988,698.0,601198
2,2015-03-02,15.383,15.383,15.383,15.383,729.0,601198
3,2015-03-03,16.922,16.922,16.922,16.922,2341.0,601198
4,2015-03-04,18.615,18.615,18.615,18.615,9489.0,601198
5,2015-03-05,20.482,20.482,20.482,20.482,30348.0,601198
6,2015-03-06,22.531,22.531,22.531,22.531,74633.0,601198
7,2015-03-09,22.511,21.607,22.511,20.405,2739781.0,601198
8,2015-03-10,21.261,20.751,21.482,20.443,1387218.0,601198
9,2015-03-11,20.712,20.077,21.04,19.991,1013797.0,601198
10,2015-03-12,20.203,20.568,21.261,19.77,1256282.0,601198
11,2015-03-13,20.53,20.183,20.982,20.02,839052.0,601198
12,2015-03-16,20.308,22.204,22.204,20.058,1836547.0,601198
13,2015-03-17,22.425,22.54,22.781,21.771,1761026.0,601198
14,2015-03-18,22.511,22.473,22.858,22.021,1179764.0,601198
15,2015-03-19,22.483,23.146,23.531,22.155,1183574.0,601198
16,2015-03-20,23.089,24.06,25.301,22.713,1332942.0,601198
17,2015-03-23,24.08,24.08,24.455,23.589,957593.0,601198
18,2015-03-24,23.954,23.137,23.964,22.415,899216.0,601198
19,2015-03-25,23.069,22.992,23.618,22.771,574861.0,601198
20,2015-03-26,22.752,23.647,25.003,22.617,1042645.0,601198
21,2015-03-27,23.425,23.271,23.704,22.992,591643.98,601198
22,2015-03-30,23.108,23.473,23.829,22.848,749307.0,601198
23,2015-03-31,23.55,24.214,24.695,23.541,1292090.0,601198
24,2015-04-01,24.397,25.359,25.388,23.954,973205.0,601198
25,2015-04-02,25.474,25.33,25.696,24.859,619621.0,601198
26,2015-04-03,25.061,27.745,27.86,25.042,992738.0,601198
27,2015-04-07,28.765,28.447,29.823,27.562,1287937.0,601198
28,2015-04-08,28.38,31.295,31.295,27.706,1069233.0,601198
29,2015-04-09,33.652,32.747,34.421,32.228,1584559.0,601198
