,date,open,close,high,low,volume,code
135,2013-07-31,11.042,10.98,11.421,10.956,24874.0,601633
136,2013-08-01,11.096,11.125,11.229,10.879,28421.0,601633
137,2013-08-02,11.214,10.95,11.247,10.906,28073.0,601633
138,2013-08-05,10.885,11.282,11.318,10.8,38699.0,601633
139,2013-08-06,11.303,12.016,12.191,11.149,92876.0,601633
140,2013-08-07,11.945,12.114,12.611,11.856,54042.0,601633
141,2013-08-08,12.434,12.827,13.286,12.425,68289.0,601633
142,2013-08-09,12.789,13.085,13.203,12.434,36222.0,601633
143,2013-08-12,13.029,12.816,13.203,12.605,43307.0,601633
144,2013-08-13,12.816,12.561,12.872,12.309,31903.0,601633
145,2013-08-14,12.656,12.747,13.014,12.62,36641.0,601633
146,2013-08-15,12.694,12.395,12.7,12.363,24968.0,601633
147,2013-08-16,12.392,12.697,13.636,12.318,60289.0,601633
148,2013-08-19,12.798,12.857,12.901,12.493,28232.0,601633
149,2013-08-20,12.866,12.94,12.996,12.67,29139.0,601633
150,2013-08-21,12.937,12.848,12.949,12.67,35388.0,601633
151,2013-08-22,12.789,12.679,12.907,12.582,24676.0,601633
152,2013-08-23,12.742,12.993,13.123,12.641,35615.0,601633
153,2013-08-26,12.878,13.943,14.032,12.878,42601.0,601633
154,2013-08-27,13.849,13.795,13.923,13.562,24195.0,601633
155,2013-08-28,13.677,13.544,13.733,13.476,20070.0,601633
156,2013-08-29,13.526,13.55,13.739,13.443,10877.0,601633
157,2013-08-30,13.55,13.206,13.787,13.032,26301.0,601633
158,2013-09-02,13.375,13.567,13.65,13.135,18027.0,601633
159,2013-09-03,13.514,13.674,13.766,13.411,24676.0,601633
160,2013-09-04,13.499,13.692,14.047,13.381,33065.0,601633
161,2013-09-05,13.689,13.674,13.837,13.588,14957.0,601633
162,2013-09-06,13.674,13.573,13.822,13.411,16904.0,601633
163,2013-09-09,13.721,14.091,14.21,13.721,31086.0,601633
164,2013-09-10,14.091,13.923,14.115,13.766,19649.0,601633
165,2013-09-11,13.973,13.683,14.053,13.393,31815.0,601633
166,2013-09-12,13.674,13.73,14.086,13.565,21622.0,601633
167,2013-09-13,13.881,13.375,13.923,13.322,32050.0,601633
168,2013-09-16,13.369,13.742,13.819,13.369,30272.0,601633
169,2013-09-17,13.781,14.023,14.032,13.781,25185.0,601633
170,2013-09-18,14.106,14.139,14.254,13.769,21095.0,601633
171,2013-09-23,14.151,14.879,14.947,14.062,26804.0,601633
172,2013-09-24,14.583,14.926,15.305,14.583,20021.0,601633
173,2013-09-25,14.808,14.92,14.929,14.506,18636.0,601633
174,2013-09-26,14.808,14.473,14.808,14.109,29983.0,601633
175,2013-09-27,14.462,14.604,14.852,14.462,15702.0,601633
176,2013-09-30,14.618,15.122,15.216,14.618,21942.0,601633
177,2013-10-08,15.157,15.542,15.646,14.858,19167.0,601633
178,2013-10-09,15.512,15.314,15.646,15.134,22493.0,601633
