,date,open,close,high,low,volume,code
135,2013-07-31,1.874,1.865,1.883,1.865,55613.0,601018
136,2013-08-01,1.874,1.883,1.893,1.865,93392.0,601018
137,2013-08-02,1.893,1.883,1.902,1.883,80874.0,601018
138,2013-08-05,1.883,1.902,1.902,1.874,91078.0,601018
139,2013-08-06,1.902,1.902,1.911,1.883,107841.0,601018
140,2013-08-07,1.902,1.893,1.911,1.883,75420.0,601018
141,2013-08-08,1.893,1.883,1.902,1.883,57005.0,601018
142,2013-08-09,1.893,1.883,1.902,1.874,100026.0,601018
143,2013-08-12,1.893,1.92,1.929,1.883,183156.0,601018
144,2013-08-13,1.911,1.939,1.948,1.911,181215.0,601018
145,2013-08-14,1.929,1.948,1.975,1.92,270510.0,601018
146,2013-08-15,1.948,1.911,1.948,1.902,149631.0,601018
147,2013-08-16,1.911,1.911,1.966,1.902,230080.0,601018
148,2013-08-19,1.911,1.939,1.948,1.902,120612.0,601018
149,2013-08-20,1.929,1.92,1.948,1.911,94079.0,601018
150,2013-08-21,1.92,1.92,1.929,1.902,71759.0,601018
151,2013-08-22,1.92,1.911,1.929,1.902,88935.0,601018
152,2013-08-23,1.911,1.911,1.929,1.893,110045.0,601018
153,2013-08-26,1.911,1.975,1.994,1.902,361136.0,601018
154,2013-08-27,1.975,2.04,2.049,1.948,463770.0,601018
155,2013-08-28,2.021,2.159,2.187,1.994,993325.0,601018
156,2013-08-29,2.132,2.214,2.251,2.067,1186428.0,601018
157,2013-08-30,2.187,2.435,2.435,2.168,2867742.0,601018
158,2013-09-02,2.426,2.196,2.426,2.196,1501926.0,601018
159,2013-09-03,2.132,2.104,2.132,2.067,747533.0,601018
160,2013-09-04,2.104,2.132,2.196,2.104,588356.0,601018
161,2013-09-05,2.122,2.086,2.122,2.049,392781.0,601018
162,2013-09-06,2.067,2.122,2.15,2.067,455258.0,601018
163,2013-09-09,2.132,2.196,2.251,2.122,810084.0,601018
164,2013-09-10,2.196,2.297,2.37,2.177,1036390.0,601018
165,2013-09-11,2.315,2.288,2.407,2.26,829410.0,601018
166,2013-09-12,2.279,2.279,2.306,2.242,426293.0,601018
167,2013-09-13,2.279,2.205,2.279,2.168,528997.0,601018
168,2013-09-16,2.205,2.205,2.26,2.168,308001.0,601018
169,2013-09-17,2.196,2.132,2.196,2.122,264935.0,601018
170,2013-09-18,2.141,2.15,2.168,2.122,148474.0,601018
171,2013-09-23,2.159,2.168,2.177,2.15,201168.0,601018
172,2013-09-24,2.159,2.141,2.168,2.104,283326.0,601018
173,2013-09-25,2.132,2.104,2.141,2.095,211412.0,601018
174,2013-09-26,2.095,2.04,2.104,2.021,237278.0,601018
175,2013-09-27,2.04,2.049,2.058,2.03,129472.0,601018
176,2013-09-30,2.049,2.067,2.086,2.049,118937.0,601018
177,2013-10-08,2.058,2.113,2.113,2.049,171380.0,601018
178,2013-10-09,2.095,2.214,2.233,2.086,557650.0,601018
179,2013-10-10,2.205,2.15,2.223,2.132,332755.0,601018
180,2013-10-11,2.15,2.168,2.177,2.15,177091.0,601018
181,2013-10-14,2.223,2.223,2.297,2.205,457745.0,601018
182,2013-10-15,2.187,2.223,2.26,2.168,350794.0,601018
183,2013-10-16,2.196,2.159,2.205,2.141,245510.0,601018
184,2013-10-17,2.177,2.141,2.187,2.141,164355.0,601018
185,2013-10-18,2.141,2.15,2.168,2.132,123421.0,601018
186,2013-10-21,2.15,2.159,2.159,2.113,173992.0,601018
187,2013-10-22,2.159,2.15,2.187,2.141,141061.0,601018
188,2013-10-23,2.159,2.132,2.159,2.122,141138.0,601018
189,2013-10-24,2.132,2.122,2.141,2.113,135402.0,601018
190,2013-10-25,2.122,2.086,2.132,2.067,140125.0,601018
191,2013-10-28,2.076,2.095,2.095,2.076,65753.0,601018
192,2013-10-29,2.095,2.067,2.113,2.04,163149.0,601018
193,2013-10-30,2.067,2.113,2.122,2.058,145875.0,601018
194,2013-10-31,2.104,2.095,2.113,2.086,93863.0,601018
195,2013-11-01,2.095,2.104,2.113,2.086,87649.0,601018
196,2013-11-04,2.113,2.104,2.113,2.086,79870.0,601018
197,2013-11-05,2.095,2.095,2.104,2.058,117585.0,601018
198,2013-11-06,2.086,2.076,2.113,2.076,78650.0,601018
199,2013-11-07,2.076,2.086,2.086,2.067,93245.0,601018
200,2013-11-08,2.086,2.095,2.132,2.067,195794.0,601018
201,2013-11-11,2.086,2.076,2.095,2.067,70506.0,601018
202,2013-11-12,2.076,2.076,2.086,2.058,99086.0,601018
203,2013-11-13,2.067,2.049,2.076,2.049,93483.0,601018
204,2013-11-14,2.058,2.04,2.058,2.03,67813.0,601018
205,2013-11-15,2.049,2.058,2.076,2.04,113848.0,601018
206,2013-11-18,2.067,2.086,2.095,2.058,184282.0,601018
207,2013-11-19,2.095,2.104,2.104,2.076,131664.0,601018
208,2013-11-20,2.104,2.104,2.113,2.086,126335.0,601018
209,2013-11-21,2.095,2.141,2.187,2.086,499241.0,601018
210,2013-11-22,2.141,2.122,2.15,2.104,194206.0,601018
211,2013-11-25,2.306,2.334,2.334,2.297,998488.0,601018
212,2013-11-26,2.563,2.563,2.563,2.508,2969200.0,601018
213,2013-11-27,2.554,2.527,2.637,2.481,2666109.0,601018
214,2013-11-28,2.481,2.536,2.536,2.435,1503402.0,601018
215,2013-11-29,2.508,2.471,2.508,2.444,770736.0,601018
216,2013-12-02,2.389,2.306,2.444,2.297,1006351.0,601018
217,2013-12-03,2.297,2.352,2.38,2.297,540230.0,601018
218,2013-12-04,2.324,2.481,2.545,2.324,1289328.0,601018
219,2013-12-05,2.471,2.426,2.471,2.416,509425.0,601018
220,2013-12-06,2.416,2.426,2.471,2.398,337897.0,601018
221,2013-12-09,2.435,2.389,2.444,2.38,356484.0,601018
222,2013-12-10,2.398,2.38,2.407,2.361,275351.0,601018
223,2013-12-11,2.37,2.352,2.389,2.334,281791.0,601018
224,2013-12-12,2.343,2.334,2.352,2.306,276730.0,601018
225,2013-12-13,2.462,2.471,2.563,2.444,1344322.0,601018
226,2013-12-16,2.389,2.352,2.416,2.343,624459.0,601018
227,2013-12-17,2.343,2.324,2.38,2.324,247642.0,601018
228,2013-12-18,2.334,2.324,2.352,2.306,192304.0,601018
229,2013-12-19,2.334,2.315,2.352,2.306,176480.0,601018
230,2013-12-20,2.324,2.269,2.324,2.233,262360.0,601018
231,2013-12-23,2.269,2.242,2.269,2.223,157875.0,601018
232,2013-12-24,2.242,2.269,2.324,2.242,266460.0,601018
233,2013-12-25,2.26,2.269,2.279,2.233,133028.0,601018
234,2013-12-26,2.251,2.223,2.269,2.214,151871.0,601018
235,2013-12-27,2.223,2.251,2.269,2.214,214631.0,601018
236,2013-12-30,2.26,2.223,2.269,2.214,173245.0,601018
237,2013-12-31,2.223,2.242,2.26,2.223,147595.0,601018
238,2014-01-02,2.242,2.242,2.288,2.223,197141.0,601018
239,2014-01-03,2.242,2.279,2.297,2.223,405136.0,601018
240,2014-01-06,2.26,2.196,2.269,2.187,243863.0,601018
241,2014-01-07,2.187,2.214,2.251,2.168,146316.0,601018
242,2014-01-08,2.223,2.177,2.223,2.159,173626.0,601018
243,2014-01-09,2.177,2.159,2.187,2.15,139625.0,601018
244,2014-01-10,2.159,2.122,2.168,2.104,168559.0,601018
245,2014-01-13,2.122,2.113,2.132,2.095,102503.0,601018
246,2014-01-14,2.113,2.141,2.141,2.095,91035.0,601018
247,2014-01-15,2.141,2.122,2.141,2.104,91285.0,601018
248,2014-01-16,2.113,2.122,2.141,2.104,123552.0,601018
249,2014-01-17,2.122,2.086,2.122,2.067,138998.0,601018
250,2014-01-20,2.086,2.067,2.086,2.067,81720.0,601018
251,2014-01-21,2.067,2.086,2.095,2.067,76073.0,601018
252,2014-01-22,2.095,2.132,2.15,2.086,166043.0,601018
