,date,open,close,high,low,volume,code
135,2013-07-31,4.027,3.988,4.07,3.975,57349.0,000876
136,2013-08-01,4.005,4.16,4.169,3.945,185377.0,000876
137,2013-08-02,4.199,4.134,4.22,4.1,144101.0,000876
138,2013-08-05,4.147,4.546,4.546,4.147,286359.0,000876
139,2013-08-13,4.679,4.697,4.915,4.589,337823.0,000876
140,2013-08-14,4.675,4.679,4.855,4.649,200828.0,000876
141,2013-08-15,4.654,4.542,4.654,4.538,142749.0,000876
142,2013-08-16,4.525,4.516,4.709,4.486,138135.0,000876
143,2013-08-19,4.452,4.628,4.645,4.439,103513.0,000876
144,2013-08-20,4.576,4.529,4.662,4.525,85198.0,000876
145,2013-08-21,4.559,4.521,4.563,4.456,60962.0,000876
146,2013-08-22,4.521,4.645,4.752,4.482,166611.0,000876
147,2013-08-23,4.666,4.619,4.718,4.529,100601.0,000876
148,2013-08-26,4.594,4.688,4.727,4.576,92742.0,000876
149,2013-08-27,4.679,4.752,4.787,4.675,100803.0,000876
150,2013-08-28,4.727,4.666,4.752,4.636,105447.0,000876
151,2013-08-29,4.701,4.718,4.765,4.624,90078.0,000876
152,2013-08-30,4.718,4.568,4.748,4.529,101542.0,000876
153,2013-09-02,4.555,4.808,4.83,4.508,160134.0,000876
154,2013-09-03,4.812,4.89,5.023,4.808,224805.0,000876
155,2013-09-04,4.928,4.825,4.95,4.812,101107.0,000876
156,2013-09-05,4.847,4.727,4.864,4.684,78535.0,000876
157,2013-09-06,4.714,4.748,4.8,4.705,56502.0,000876
158,2013-09-09,4.761,4.847,4.937,4.735,160859.0,000876
159,2013-09-10,4.873,4.946,4.98,4.8,148271.0,000876
160,2013-09-11,4.967,5.001,5.1,4.877,169159.0,000876
161,2013-09-12,4.976,5.143,5.177,4.92,187193.0,000876
162,2013-09-13,5.152,5.113,5.298,5.091,185817.0,000876
163,2013-09-16,5.117,5.143,5.199,5.066,108375.0,000876
164,2013-09-17,5.203,5.044,5.28,5.044,122272.0,000876
165,2013-09-18,5.096,5.079,5.13,4.958,96114.0,000876
166,2013-09-23,5.13,5.087,5.143,5.044,128701.0,000876
167,2013-09-24,5.091,4.92,5.117,4.898,144876.0,000876
168,2013-09-25,4.933,4.95,5.1,4.928,106761.0,000876
169,2013-09-26,4.954,4.894,4.967,4.791,101500.0,000876
170,2013-09-27,4.868,4.873,4.924,4.834,37110.0,000876
171,2013-09-30,4.877,4.971,5.001,4.851,53928.0,000876
172,2013-10-08,4.971,5.147,5.16,4.903,156487.0,000876
173,2013-10-09,5.13,5.156,5.19,5.07,92954.0,000876
174,2013-10-10,5.156,5.074,5.173,5.031,91805.0,000876
175,2013-10-11,5.109,5.353,5.431,5.109,238102.0,000876
176,2013-10-14,5.632,5.89,5.89,5.559,626142.0,000876
177,2013-10-15,5.796,5.821,5.881,5.701,309500.0,000876
178,2013-10-16,5.684,5.452,5.74,5.358,313936.0,000876
179,2013-10-17,5.495,5.525,5.594,5.396,171395.0,000876
180,2013-10-18,5.516,5.508,5.645,5.435,118743.0,000876
181,2013-10-21,5.508,5.731,5.821,5.431,213046.0,000876
182,2013-10-22,5.675,5.628,5.77,5.598,126885.0,000876
183,2013-10-23,5.667,5.319,5.723,5.289,156355.0,000876
184,2013-10-24,5.345,5.242,5.392,5.195,83889.0,000876
185,2013-10-25,5.259,5.053,5.267,5.001,137575.0,000876
186,2013-10-28,5.061,5.16,5.28,5.023,101912.0,000876
187,2013-10-29,5.164,5.019,5.216,4.873,139471.0,000876
188,2013-10-30,5.001,5.156,5.199,4.971,89525.0,000876
189,2013-10-31,5.147,5.074,5.195,5.001,56792.0,000876
190,2013-11-01,5.152,5.233,5.255,5.074,94841.0,000876
191,2013-11-04,5.276,5.246,5.328,5.195,81387.0,000876
192,2013-11-05,5.216,5.401,5.431,5.091,111073.0,000876
