,date,open,close,high,low,volume,code
135,2013-07-31,3.1,3.1,3.18,3.08,76864.0,601600
136,2013-08-01,3.1,3.14,3.17,3.1,102056.0,601600
137,2013-08-02,3.16,3.19,3.26,3.13,210258.0,601600
138,2013-08-05,3.19,3.2,3.21,3.15,141895.0,601600
139,2013-08-06,3.18,3.2,3.22,3.14,142210.0,601600
140,2013-08-07,3.18,3.19,3.22,3.17,132802.0,601600
141,2013-08-08,3.19,3.17,3.22,3.17,128148.0,601600
142,2013-08-09,3.19,3.25,3.29,3.19,324084.0,601600
143,2013-08-12,3.26,3.38,3.4,3.24,382071.0,601600
144,2013-08-13,3.37,3.36,3.4,3.33,230572.0,601600
145,2013-08-14,3.35,3.32,3.38,3.31,158665.0,601600
146,2013-08-15,3.34,3.31,3.36,3.3,114090.0,601600
147,2013-08-16,3.29,3.28,3.64,3.25,334452.0,601600
148,2013-08-19,3.25,3.29,3.33,3.23,145621.0,601600
149,2013-08-20,3.29,3.24,3.3,3.23,136254.0,601600
150,2013-08-21,3.26,3.26,3.28,3.23,86866.0,601600
151,2013-08-22,3.26,3.23,3.28,3.22,100583.0,601600
152,2013-08-23,3.23,3.21,3.28,3.19,127214.0,601600
153,2013-08-26,3.21,3.26,3.28,3.21,139571.0,601600
154,2013-08-27,3.26,3.27,3.29,3.24,131471.0,601600
155,2013-08-28,3.25,3.33,3.36,3.23,301792.0,601600
156,2013-08-29,3.33,3.31,3.36,3.29,171675.0,601600
157,2013-08-30,3.31,3.32,3.35,3.28,172720.0,601600
158,2013-09-02,3.35,3.33,3.37,3.29,177845.0,601600
159,2013-09-03,3.35,3.37,3.38,3.33,176706.0,601600
160,2013-09-04,3.36,3.41,3.43,3.34,205527.0,601600
161,2013-09-05,3.4,3.34,3.4,3.3,144105.0,601600
162,2013-09-06,3.32,3.35,3.36,3.32,122866.0,601600
163,2013-09-09,3.35,3.46,3.54,3.35,435485.0,601600
164,2013-09-10,3.47,3.62,3.63,3.46,524431.0,601600
165,2013-09-11,3.7,3.98,3.98,3.7,962298.0,601600
166,2013-09-12,3.96,3.92,4.01,3.81,898407.0,601600
167,2013-09-13,3.89,3.78,3.89,3.77,367647.0,601600
168,2013-09-16,3.78,3.75,3.87,3.72,257729.0,601600
169,2013-09-17,3.74,3.61,3.77,3.61,242639.0,601600
170,2013-09-18,3.59,3.63,3.66,3.59,143198.0,601600
171,2013-09-23,3.65,3.73,3.75,3.63,231387.0,601600
172,2013-09-24,3.74,3.7,3.75,3.66,188851.0,601600
173,2013-09-25,3.75,4.07,4.07,3.74,1287533.0,601600
174,2013-09-26,4.0,3.96,4.07,3.95,565761.0,601600
175,2013-09-27,3.96,4.36,4.36,3.93,987979.0,601600
176,2013-09-30,4.5,4.4,4.55,4.31,806526.0,601600
177,2013-10-08,4.3,4.31,4.37,4.22,558284.0,601600
178,2013-10-09,4.27,4.22,4.28,4.14,475456.0,601600
179,2013-10-10,4.18,4.49,4.56,4.08,1063667.0,601600
180,2013-10-11,4.38,4.51,4.76,4.36,897116.0,601600
181,2013-10-14,4.43,4.52,4.69,4.31,574476.0,601600
182,2013-10-15,4.45,4.48,4.63,4.43,413166.0,601600
183,2013-10-16,4.47,4.28,4.47,4.22,425815.0,601600
184,2013-10-17,4.3,4.26,4.41,4.22,324657.0,601600
185,2013-10-18,4.25,4.19,4.32,4.16,327531.0,601600
186,2013-10-21,4.22,4.33,4.4,4.12,463778.0,601600
187,2013-10-22,4.28,4.36,4.44,4.2,440188.0,601600
188,2013-10-23,4.35,4.27,4.49,4.26,380872.0,601600
189,2013-10-24,4.23,4.18,4.29,4.16,269108.0,601600
190,2013-10-25,4.18,4.03,4.2,4.0,303661.0,601600
191,2013-10-28,4.03,4.09,4.15,4.01,206774.0,601600
192,2013-10-29,4.09,3.97,4.15,3.8,257400.0,601600
193,2013-10-30,3.95,4.18,4.26,3.88,474279.0,601600
194,2013-10-31,4.12,4.18,4.26,4.11,215665.0,601600
195,2013-11-01,4.21,4.16,4.28,4.12,296135.0,601600
196,2013-11-04,4.15,4.05,4.19,4.0,225805.0,601600
197,2013-11-05,4.01,4.09,4.11,4.0,165666.0,601600
198,2013-11-06,4.05,3.99,4.14,3.97,239977.0,601600
199,2013-11-07,3.98,4.02,4.07,3.96,183726.0,601600
200,2013-11-08,4.01,3.93,4.06,3.87,144171.0,601600
201,2013-11-11,3.92,3.87,3.96,3.83,121489.0,601600
202,2013-11-12,3.89,3.88,3.93,3.85,90304.0,601600
203,2013-11-13,3.85,3.77,3.88,3.76,131483.0,601600
204,2013-11-14,3.77,3.73,3.82,3.71,128615.0,601600
205,2013-11-15,3.73,3.91,3.95,3.73,270810.0,601600
206,2013-11-18,3.91,3.98,3.99,3.89,215137.0,601600
207,2013-11-19,3.99,3.97,4.02,3.93,177277.0,601600
208,2013-11-20,3.97,3.95,3.98,3.91,154386.0,601600
209,2013-11-21,3.94,3.93,3.94,3.89,119990.0,601600
210,2013-11-22,3.95,3.91,3.95,3.89,84365.0,601600
211,2013-11-25,3.88,3.88,3.93,3.87,81991.0,601600
212,2013-11-26,3.88,3.88,3.9,3.85,80782.0,601600
213,2013-11-27,3.88,3.93,3.93,3.86,97880.0,601600
214,2013-11-28,3.94,4.04,4.08,3.9,376764.0,601600
215,2013-11-29,4.0,3.99,4.02,3.98,191658.0,601600
216,2013-12-02,3.91,3.85,3.98,3.82,232532.0,601600
217,2013-12-03,3.83,3.89,3.91,3.83,134706.0,601600
218,2013-12-04,3.89,3.95,3.99,3.85,223552.0,601600
219,2013-12-05,3.96,3.98,4.01,3.95,152329.0,601600
220,2013-12-06,3.98,3.99,4.08,3.96,277450.0,601600
221,2013-12-09,4.02,3.94,4.04,3.93,159228.0,601600
222,2013-12-10,3.94,3.88,3.96,3.85,173062.0,601600
223,2013-12-11,3.85,3.81,3.87,3.8,141865.0,601600
224,2013-12-12,3.8,3.82,3.84,3.8,88954.0,601600
225,2013-12-13,3.76,3.8,3.84,3.72,81255.0,601600
226,2013-12-16,3.82,3.68,3.82,3.67,134803.0,601600
227,2013-12-17,3.69,3.67,3.75,3.65,109360.0,601600
228,2013-12-18,3.7,3.65,3.7,3.63,90833.0,601600
229,2013-12-19,3.66,3.65,3.7,3.63,126484.0,601600
230,2013-12-20,3.64,3.56,3.65,3.46,265434.0,601600
231,2013-12-23,3.54,3.5,3.56,3.48,97730.0,601600
232,2013-12-24,3.49,3.46,3.54,3.45,145476.0,601600
233,2013-12-25,3.46,3.42,3.47,3.38,253220.0,601600
234,2013-12-26,3.41,3.33,3.42,3.3,205740.0,601600
235,2013-12-27,3.34,3.38,3.41,3.31,140729.0,601600
236,2013-12-30,3.42,3.38,3.45,3.37,97462.0,601600
237,2013-12-31,3.36,3.4,3.42,3.33,116822.0,601600
238,2014-01-02,3.4,3.36,3.4,3.33,144875.0,601600
239,2014-01-03,3.38,3.38,3.42,3.33,230680.0,601600
240,2014-01-06,3.4,3.27,3.4,3.24,159810.0,601600
241,2014-01-07,3.24,3.26,3.28,3.2,89481.0,601600
242,2014-01-08,3.27,3.22,3.3,3.22,86154.0,601600
243,2014-01-09,3.22,3.14,3.25,3.14,109196.0,601600
244,2014-01-10,3.15,3.19,3.21,3.13,197890.0,601600
245,2014-01-13,3.34,3.5,3.51,3.31,950457.0,601600
246,2014-01-14,3.42,3.33,3.44,3.28,646804.0,601600
247,2014-01-15,3.3,3.24,3.31,3.19,520906.0,601600
248,2014-01-16,3.24,3.29,3.36,3.18,568896.0,601600
249,2014-01-17,3.26,3.2,3.26,3.18,362931.0,601600
250,2014-01-20,3.17,3.19,3.21,3.15,231537.0,601600
251,2014-01-21,3.19,3.21,3.23,3.18,197575.0,601600
252,2014-01-22,3.21,3.3,3.31,3.2,302348.0,601600
253,2014-01-23,3.3,3.28,3.31,3.26,208347.0,601600
254,2014-01-24,3.26,3.31,3.35,3.26,202367.0,601600
255,2014-01-27,3.27,3.23,3.3,3.22,233060.0,601600
256,2014-01-28,3.24,3.28,3.3,3.23,197153.0,601600
257,2014-01-29,3.26,3.25,3.29,3.24,142097.0,601600
258,2014-01-30,3.25,3.23,3.28,3.22,132890.0,601600
259,2014-02-07,3.22,3.24,3.24,3.2,126743.0,601600
260,2014-02-10,3.25,3.31,3.33,3.25,277549.0,601600
261,2014-02-11,3.31,3.43,3.49,3.3,466684.0,601600
262,2014-02-12,3.4,3.38,3.41,3.34,311307.0,601600
263,2014-02-13,3.37,3.38,3.49,3.35,349346.0,601600
264,2014-02-14,3.38,3.39,3.41,3.36,189586.0,601600
265,2014-02-17,3.44,3.4,3.45,3.38,257908.0,601600
266,2014-02-18,3.4,3.36,3.41,3.35,234711.0,601600
267,2014-02-19,3.36,3.4,3.43,3.35,206483.0,601600
268,2014-02-20,3.39,3.39,3.58,3.39,595181.0,601600
269,2014-02-21,3.38,3.33,3.43,3.31,364339.0,601600
270,2014-02-24,3.3,3.23,3.31,3.19,357001.0,601600
271,2014-02-25,3.23,3.16,3.25,3.15,272605.0,601600
272,2014-02-26,3.16,3.2,3.21,3.11,334124.0,601600
273,2014-02-27,3.2,3.14,3.21,3.13,380891.0,601600
274,2014-02-28,3.13,3.21,3.32,3.13,426544.0,601600
275,2014-03-03,3.26,3.33,3.41,3.21,619774.0,601600
276,2014-03-04,3.31,3.3,3.34,3.25,385365.0,601600
277,2014-03-05,3.33,3.33,3.46,3.32,473711.0,601600
278,2014-03-06,3.32,3.3,3.34,3.22,289342.0,601600
279,2014-03-07,3.33,3.34,3.42,3.31,335319.0,601600
280,2014-03-10,3.3,3.22,3.3,3.18,290780.0,601600
281,2014-03-11,3.21,3.2,3.22,3.16,172263.0,601600
282,2014-03-12,3.18,3.22,3.26,3.16,225273.0,601600
